player,position,age,team,games,game_starts,minutes,fgm,fga,fg_percent,fg3m,fg3a,fg3_percent,fg2m,fg2a,fg2_percent,e_fg_percent,ftm,fta,ft_percent,oreb,dreb,treb,ast,stl,blk,tov,pf,pts,player_additional
Tyus Jones,PG,26,MEM,24,4,573,98,218,0.45,35,93,0.376,63,125,0.504,0.53,19,27,0.704,9,42,51,108,15,2,25,12,250,jonesty01
Wendell Carter Jr.,C,23,ORL,15,15,493,87,169,0.515,18,52,0.346,69,117,0.59,0.568,57,69,0.826,32,104,136,49,8,8,39,48,249,cartewe01
Eric Gordon,SG,34,HOU,20,20,601,82,188,0.436,38,108,0.352,44,80,0.55,0.537,44,51,0.863,6,33,39,51,14,7,38,15,246,gordoer01
Jalen McDaniels,SF,25,CHO,24,6,635,89,203,0.438,30,85,0.353,59,118,0.5,0.512,35,41,0.854,23,88,111,55,24,13,32,70,243,mcdanja01
Royce O'Neale,SF,29,BRK,25,25,897,84,220,0.382,58,142,0.408,26,78,0.333,0.514,16,23,0.696,20,112,132,117,29,17,44,83,242,onealro01
Kentavious Caldwell-Pope,SG,29,DEN,22,22,686,85,185,0.459,46,100,0.46,39,85,0.459,0.584,25,32,0.781,12,52,64,46,26,9,28,41,241,caldwke01
Immanuel Quickley,PG,23,NYK,24,0,548,83,200,0.415,28,91,0.308,55,109,0.505,0.485,47,56,0.839,16,91,107,72,24,3,35,43,241,quickim01
De'Anthony Melton,PG,24,PHI,22,15,635,91,225,0.404,44,123,0.358,47,102,0.461,0.502,14,21,0.667,26,72,98,74,45,10,40,48,240,meltode01
Cade Cunningham,PG,21,DET,12,12,400,93,224,0.415,17,61,0.279,76,163,0.466,0.453,36,43,0.837,12,62,74,72,10,7,39,34,239,cunnica01
Shake Milton,SG,26,PHI,20,8,486,92,176,0.523,18,46,0.391,74,130,0.569,0.574,33,38,0.868,16,52,68,72,7,4,38,31,235,miltosh01
Nick Richards,C,25,CHO,24,0,463,88,142,0.62,0,0,NA,88,142,0.62,0.62,54,74,0.73,74,90,164,16,2,18,22,53,230,richani01
Jarrett Allen,C,24,CLE,17,17,544,94,160,0.588,0,2,0,94,158,0.595,0.588,41,52,0.788,50,133,183,22,9,21,29,38,229,allenja01
Jose Alvarado,PG,24,NOP,23,6,487,85,180,0.472,38,94,0.404,47,86,0.547,0.578,21,25,0.84,10,45,55,77,27,4,31,51,229,alvarjo01
Austin Reaves,SG,24,LAL,22,8,632,71,133,0.534,24,62,0.387,47,71,0.662,0.624,63,69,0.913,16,55,71,44,9,7,22,31,229,reaveau01
Ayo Dosunmu,PG,23,CHI,22,20,624,94,182,0.516,22,66,0.333,72,116,0.621,0.577,18,20,0.9,12,63,75,64,14,9,34,56,228,dosunay01
