player,position,age,team,games,game_starts,minutes,fgm,fga,fg_percent,fg3m,fg3a,fg3_percent,fg2m,fg2a,fg2_percent,e_fg_percent,ftm,fta,ft_percent,oreb,dreb,treb,ast,stl,blk,tov,pf,pts,player_additional
Sam Hauser,PF,25,BOS,25,0,417,61,121,0.504,49,106,0.462,12,15,0.8,0.707,7,9,0.778,9,52,61,19,6,7,7,36,178,hausesa01
Will Barton,SG,32,WAS,24,0,531,65,181,0.359,26,82,0.317,39,99,0.394,0.431,21,24,0.875,6,68,74,61,15,7,24,28,177,bartowi01
Onyeka Okongwu,C,22,ATL,23,2,468,75,116,0.647,0,2,0,75,114,0.658,0.647,27,37,0.73,49,90,139,24,12,17,21,69,177,okongon01
Keita Bates-Diop,SF,27,SAS,22,8,398,69,132,0.523,11,30,0.367,58,102,0.569,0.564,25,30,0.833,27,38,65,16,13,4,17,15,174,bateske01
Mike Conley,PG,35,UTA,17,17,497,58,148,0.392,32,83,0.386,26,65,0.4,0.5,26,34,0.765,7,34,41,134,20,5,25,35,174,conlemi01
Josh Richardson,SG,29,SAS,17,2,388,59,146,0.404,29,80,0.363,30,66,0.455,0.503,27,32,0.844,7,31,38,51,12,2,29,31,174,richajo01
Steven Adams,C,29,MEM,22,22,596,77,129,0.597,0,1,0,77,128,0.602,0.597,19,62,0.306,110,129,239,50,18,22,48,55,173,adamsst01
Deni Avdija,SF,22,WAS,24,21,567,64,163,0.393,18,68,0.265,46,95,0.484,0.448,27,36,0.75,22,99,121,55,17,17,33,74,173,avdijde01
Jalen Suggs,PG,21,ORL,14,13,405,65,155,0.419,20,68,0.294,45,87,0.517,0.484,23,35,0.657,15,31,46,76,22,9,47,44,173,suggsja01
Isaiah Jackson,PF,21,IND,23,3,379,63,114,0.553,1,4,0.25,62,110,0.564,0.557,45,64,0.703,35,66,101,24,11,29,23,56,172,jacksis01
Andrew Nembhard,SG,23,IND,19,10,452,66,136,0.485,30,70,0.429,36,66,0.545,0.596,10,11,0.909,9,45,54,79,17,3,25,50,172,nembhan01
Cam Reddish,SF,23,NYK,20,8,438,61,136,0.449,17,56,0.304,44,80,0.55,0.511,29,33,0.879,7,24,31,20,15,8,15,32,168,reddica01
Gabe Vincent,PG,26,MIA,19,0,472,60,154,0.39,27,91,0.297,33,63,0.524,0.477,21,25,0.84,5,34,39,56,16,2,26,49,168,vincega01
Alec Burks,SG,31,DET,12,0,245,50,117,0.427,20,54,0.37,30,63,0.476,0.513,47,58,0.81,4,27,31,20,12,1,13,31,167,burksal01
Josh Green,SG,22,DAL,23,1,464,56,93,0.602,24,52,0.462,32,41,0.78,0.731,30,43,0.698,20,33,53,28,23,1,16,56,166,greenjo02
Jeremy Sochan,PF,19,SAS,20,20,497,71,150,0.473,8,44,0.182,63,106,0.594,0.5,11,20,0.55,26,55,81,40,19,10,31,52,161,sochaje01
Justise Winslow,SF,26,POR,21,10,610,66,162,0.407,11,35,0.314,55,127,0.433,0.441,18,26,0.692,35,80,115,78,24,9,34,65,161,winslju01
Torrey Craig,SF,32,PHO,21,13,496,62,131,0.473,26,68,0.382,36,63,0.571,0.573,10,13,0.769,40,64,104,30,13,16,14,50,160,craigto01
Kevon Looney,C,26,GSW,25,25,567,68,102,0.667,0,0,NA,68,102,0.667,0.667,23,38,0.605,56,125,181,71,10,13,10,69,159,looneke01
Hamidou Diallo,SG,24,DET,24,0,370,60,123,0.488,2,13,0.154,58,110,0.527,0.496,35,55,0.636,23,45,68,23,13,5,21,51,157,diallha01
Mo Bamba,C,24,ORL,19,5,355,57,119,0.479,20,56,0.357,37,63,0.587,0.563,22,31,0.71,22,64,86,22,5,15,17,42,156,bambamo01
Corey Kispert,SF,23,WAS,16,9,426,56,103,0.544,30,65,0.462,26,38,0.684,0.689,14,19,0.737,8,29,37,28,10,3,10,24,156,kispeco01
Marvin Bagley III,PF,23,DET,12,11,294,63,111,0.568,7,19,0.368,56,92,0.609,0.599,22,27,0.815,28,54,82,8,10,8,15,29,155,baglema01
Jaren Jackson Jr.,C,23,MEM,8,8,210,51,105,0.486,14,42,0.333,37,63,0.587,0.552,39,49,0.796,19,34,53,1,7,23,14,25,155,jacksja02
Isaiah Hartenstein,C,24,NYK,24,7,501,64,120,0.533,4,18,0.222,60,102,0.588,0.55,21,25,0.84,71,94,165,18,19,23,22,62,153,harteis01
Aaron Nesmith,SF,23,IND,20,11,429,51,137,0.372,27,79,0.342,24,58,0.414,0.471,23,28,0.821,10,54,64,25,16,10,19,60,152,nesmiaa01
Troy Brown Jr.,SF,23,LAL,19,16,486,58,128,0.453,21,60,0.35,37,68,0.544,0.535,11,11,1,18,71,89,19,15,1,18,32,148,browntr01
Jordan Nwora,SF,24,MIL,21,3,400,49,134,0.366,26,69,0.377,23,65,0.354,0.463,24,29,0.828,19,56,75,23,7,3,20,21,148,nworajo01
Davion Mitchell,PG,24,SAC,22,1,423,59,132,0.447,18,59,0.305,41,73,0.562,0.515,11,15,0.733,2,29,31,51,12,5,23,36,147,mitchda01
David Roddy,PF,21,MEM,24,1,464,54,141,0.383,23,76,0.303,31,65,0.477,0.465,15,21,0.714,17,48,65,15,8,7,16,36,146,roddyda01
Naji Marshall,SF,25,NOP,21,4,427,52,125,0.416,17,52,0.327,35,73,0.479,0.484,23,29,0.793,16,46,62,45,15,4,18,26,144,marshna01
Edmond Sumner,SG,27,BRK,20,8,306,49,112,0.438,12,44,0.273,37,68,0.544,0.491,33,36,0.917,5,21,26,23,20,5,22,28,143,sumneed01
Jalen Duren,C,19,DET,22,0,476,61,103,0.592,0,1,0,61,102,0.598,0.592,20,43,0.465,63,84,147,14,13,20,21,53,142,durenja01
Taurean Prince,SF,28,MIN,18,0,352,51,103,0.495,21,54,0.389,30,49,0.612,0.597,19,22,0.864,6,39,45,21,6,4,21,43,142,princta02
Ben Simmons,PG,26,BRK,17,12,477,62,101,0.614,0,1,0,62,100,0.62,0.614,18,33,0.545,17,96,113,99,21,12,39,64,142,simmobe01
Daniel Gafford,C,24,WAS,24,0,320,57,79,0.722,0,0,NA,57,79,0.722,0.722,27,47,0.574,41,60,101,10,8,27,21,42,141,gaffoda01
Terence Davis,SG,25,SAC,20,1,264,49,112,0.438,28,71,0.394,21,41,0.512,0.563,14,16,0.875,9,51,60,30,16,4,15,36,140,daviste02
Dennis Smith Jr.,PG,25,CHO,15,11,419,62,134,0.463,10,30,0.333,52,104,0.5,0.5,6,12,0.5,9,40,49,85,27,10,23,34,140,smithde03
Dewayne Dedmon,C,33,MIA,20,0,244,52,96,0.542,9,26,0.346,43,70,0.614,0.589,25,33,0.758,19,53,72,12,4,8,13,39,138,dedmode01
Kenrich Williams,PF,28,OKC,21,3,429,59,112,0.527,14,38,0.368,45,74,0.608,0.589,6,14,0.429,35,45,80,29,13,4,8,40,138,willike04
R.J. Hampton,PG,21,ORL,21,0,327,46,105,0.438,17,49,0.347,29,56,0.518,0.519,27,31,0.871,9,25,34,32,16,4,19,20,136,hamptrj01
Naz Reid,C,23,MIN,17,0,246,54,103,0.524,11,38,0.289,43,65,0.662,0.578,16,25,0.64,10,49,59,13,5,17,12,40,135,reidna01
Derrick Rose,PG,34,NYK,21,0,285,54,135,0.4,17,49,0.347,37,86,0.43,0.463,10,10,1,8,29,37,42,7,5,17,14,135,rosede01
Seth Curry,SG,32,BRK,15,0,336,49,111,0.441,26,63,0.413,23,48,0.479,0.559,10,11,0.909,4,30,34,34,9,4,20,29,134,curryse01
Devonte' Graham,PG,27,NOP,23,0,370,40,107,0.374,36,91,0.396,4,16,0.25,0.542,18,23,0.783,5,29,34,51,12,6,14,19,134,grahade01
Walker Kessler,C,21,UTA,23,0,364,56,74,0.757,0,0,NA,56,74,0.757,0.757,21,37,0.568,47,74,121,14,4,39,15,46,133,kesslwa01
Javonte Green,SG,29,CHI,22,1,361,51,87,0.586,10,27,0.37,41,60,0.683,0.644,20,31,0.645,22,46,68,18,21,15,13,36,132,greenja02
Jock Landale,C,27,PHO,21,0,268,50,96,0.521,4,28,0.143,46,68,0.676,0.542,28,35,0.8,33,43,76,14,6,14,15,41,132,landajo01
Isaiah Livers,PF,24,DET,22,7,430,42,104,0.404,29,81,0.358,13,23,0.565,0.543,15,20,0.75,11,39,50,13,9,12,13,42,128,liveris01
Jeff Green,PF,36,DEN,16,3,319,47,89,0.528,5,20,0.25,42,69,0.609,0.556,28,36,0.778,12,29,41,19,6,3,16,33,127,greenje02
Alex Caruso,PG,28,CHI,23,7,593,40,99,0.404,20,56,0.357,20,43,0.465,0.505,24,31,0.774,9,54,63,85,33,18,32,53,124,carusal01
JaMychal Green,PF,32,GSW,22,0,332,51,101,0.505,6,34,0.176,45,67,0.672,0.535,14,18,0.778,31,54,85,15,13,8,22,45,122,greenja01
Drew Eubanks,C,25,POR,22,3,384,49,69,0.71,0,1,0,49,68,0.721,0.71,23,34,0.676,35,58,93,19,10,22,17,42,121,eubandr01
T.J. McConnell,PG,30,IND,21,0,377,53,114,0.465,4,12,0.333,49,102,0.48,0.482,11,12,0.917,14,39,53,90,26,5,37,26,121,mccontj01
Cam Thomas,SG,21,BRK,19,0,283,37,101,0.366,7,25,0.28,30,76,0.395,0.401,40,50,0.8,1,24,25,29,9,3,15,19,121,thomaca02
Théo Maledon,PG,21,CHO,22,1,368,43,96,0.448,14,36,0.389,29,60,0.483,0.521,20,23,0.87,5,47,52,55,18,5,26,22,120,maledth01
Jonathan Kuminga,PF,20,GSW,21,2,334,44,101,0.436,9,38,0.237,35,63,0.556,0.48,21,28,0.75,18,43,61,19,7,10,27,42,118,kuminjo01
Luke Kennard,SG,26,LAC,15,7,318,44,85,0.518,25,51,0.49,19,34,0.559,0.665,4,4,1,4,39,43,10,8,0,15,20,117,kennalu01
Kyle Anderson,PF,29,MIN,18,3,398,42,85,0.494,9,21,0.429,33,64,0.516,0.547,23,28,0.821,13,60,73,52,18,17,25,24,116,anderky01
Nicolas Batum,PF,34,LAC,25,1,467,39,94,0.415,27,71,0.38,12,23,0.522,0.559,11,19,0.579,17,83,100,32,14,19,18,50,116,batumni01
Nassir Little,PF,22,POR,21,0,321,43,91,0.473,16,43,0.372,27,48,0.563,0.56,14,21,0.667,7,43,50,18,8,3,14,17,116,littlna01
George Hill,PG,36,MIL,23,0,468,38,91,0.418,13,45,0.289,25,46,0.543,0.489,26,38,0.684,8,35,43,57,10,3,18,30,115,hillge01
Dwight Powell,C,31,DAL,20,16,342,44,64,0.688,0,1,0,44,63,0.698,0.688,27,41,0.659,35,32,67,10,11,8,17,49,115,poweldw01
Thaddeus Young,PF,34,TOR,21,8,359,50,94,0.532,3,15,0.2,47,79,0.595,0.548,12,14,0.857,38,46,84,39,21,2,18,35,115,youngth01
Jordan Goodwin,PG,24,WAS,17,1,351,45,91,0.495,13,27,0.481,32,64,0.5,0.566,11,17,0.647,21,47,68,47,14,13,16,33,114,goodwjo01
Yuta Watanabe,SF,28,BRK,14,0,255,42,69,0.609,24,42,0.571,18,27,0.667,0.783,6,9,0.667,10,31,41,13,3,7,5,16,114,watanyu01
Mitchell Robinson,C,24,NYK,16,15,374,50,69,0.725,0,0,NA,50,69,0.725,0.725,13,31,0.419,58,64,122,12,10,31,10,50,113,robinmi01
Maxi Kleber,C,31,DAL,19,0,478,41,87,0.471,19,54,0.352,22,33,0.667,0.58,11,14,0.786,16,50,66,20,6,17,12,40,112,klebima01
Coby White,PG,22,CHI,15,0,278,41,100,0.41,21,64,0.328,20,36,0.556,0.515,9,13,0.692,2,28,30,24,9,2,13,24,112,whiteco01
Zach Collins,PF,25,SAS,14,3,265,45,95,0.474,10,35,0.286,35,60,0.583,0.526,11,15,0.733,24,51,75,38,9,14,28,49,111,colliza01
Andre Drummond,C,29,CHI,17,0,241,47,87,0.54,0,2,0,47,85,0.553,0.54,17,26,0.654,45,86,131,14,9,7,20,34,111,drumman01
Landry Shamet,SG,25,PHO,15,0,249,35,86,0.407,24,62,0.387,11,24,0.458,0.547,17,19,0.895,4,10,14,18,7,2,16,22,111,shamela01
Danuel House Jr.,SF,29,PHI,22,2,405,36,75,0.48,15,43,0.349,21,32,0.656,0.58,21,28,0.75,4,40,44,17,6,5,13,30,108,houseda01
Dean Wade,PF,26,CLE,17,9,409,38,84,0.452,23,56,0.411,15,28,0.536,0.589,9,13,0.692,10,59,69,17,12,6,7,42,108,wadede01
Dalano Banton,PG,23,TOR,18,2,193,40,95,0.421,13,41,0.317,27,54,0.5,0.489,14,16,0.875,8,20,28,22,11,10,12,21,107,bantoda01
Reggie Bullock,SF,31,DAL,22,18,603,35,117,0.299,27,97,0.278,8,20,0.4,0.415,10,15,0.667,10,57,67,21,19,2,8,51,107,bullore01
Trey Lyles,PF,27,SAC,17,0,242,35,86,0.407,21,61,0.344,14,25,0.56,0.529,16,22,0.727,17,31,48,13,6,7,17,20,107,lylestr01
Garrison Mathews,SG,26,HOU,21,0,286,28,75,0.373,27,72,0.375,1,3,0.333,0.553,24,26,0.923,3,21,24,9,12,1,7,31,107,mathega01
Chimezie Metu,C,25,SAC,18,0,227,45,72,0.625,3,16,0.188,42,56,0.75,0.646,14,16,0.875,13,50,63,14,6,5,12,22,107,metuch01
Precious Achiuwa,C,23,TOR,12,0,245,36,92,0.391,5,28,0.179,31,64,0.484,0.418,28,33,0.848,24,60,84,16,2,7,15,19,105,achiupr01
Oshae Brissett,SF,24,IND,19,0,302,33,77,0.429,17,47,0.362,16,30,0.533,0.539,22,30,0.733,14,41,55,11,14,4,9,22,105,brissos01
Cole Anthony,PG,22,ORL,8,3,219,36,90,0.4,11,32,0.344,25,58,0.431,0.461,21,25,0.84,4,32,36,28,10,4,11,27,104,anthoco01
Cameron Johnson,PF,26,PHO,8,8,202,37,83,0.446,22,51,0.431,15,32,0.469,0.578,8,11,0.727,5,22,27,14,9,3,2,14,104,johnsca02
Jalen Johnson,SF,21,ATL,22,2,328,44,93,0.473,6,30,0.2,38,63,0.603,0.505,10,15,0.667,13,63,76,21,14,7,10,34,104,johnsja05
Kendrick Nunn,PG,27,LAL,19,2,253,40,112,0.357,16,57,0.281,24,55,0.436,0.429,8,9,0.889,1,25,26,24,2,1,24,16,104,nunnke01
Duncan Robinson,SF,28,MIA,17,0,293,36,100,0.36,23,73,0.315,13,27,0.481,0.475,9,10,0.9,4,31,35,21,4,0,11,32,104,robindu01
Montrezl Harrell,C,29,PHI,20,5,240,34,64,0.531,0,0,NA,34,64,0.531,0.531,35,47,0.745,21,38,59,10,4,8,13,22,103,harremo01
Aaron Wiggins,SG,24,OKC,17,5,330,37,80,0.463,13,33,0.394,24,47,0.511,0.544,16,20,0.8,17,44,61,29,9,4,11,26,103,wiggiaa01
Wenyen Gabriel,PF,25,LAL,20,2,271,40,67,0.597,4,13,0.308,36,54,0.667,0.627,18,22,0.818,26,47,73,13,11,10,14,35,102,gabriwe01
Justin Holiday,SG,33,ATL,18,0,303,39,97,0.402,24,68,0.353,15,29,0.517,0.526,0,0,NA,1,16,17,17,4,5,10,30,102,holidju01
DeAndre Jordan,C,34,DEN,19,3,298,43,57,0.754,1,1,1,42,56,0.75,0.763,14,30,0.467,31,81,112,19,3,12,25,31,101,jordade01
Isaac Okoro,SG,22,CLE,24,4,461,35,88,0.398,8,40,0.2,27,48,0.563,0.443,23,28,0.821,13,37,50,15,15,4,17,53,101,okorois01
James Bouknight,SG,22,CHO,19,0,327,38,113,0.336,14,59,0.237,24,54,0.444,0.398,10,16,0.625,5,40,45,26,9,4,18,28,100,bouknja01
Moses Moody,SG,20,GSW,20,1,292,32,77,0.416,18,50,0.36,14,27,0.519,0.532,18,22,0.818,5,31,36,12,7,5,20,14,100,moodymo01
Darius Bazley,PF,22,OKC,18,0,280,38,87,0.437,9,25,0.36,29,62,0.468,0.489,14,28,0.5,19,51,70,18,10,23,12,20,99,bazleda01
Christian Koloko,C,22,TOR,24,12,409,36,78,0.462,0,6,0,36,72,0.5,0.462,27,41,0.659,42,46,88,11,5,29,14,66,99,kolokch01
Anthony Lamb,SF,25,GSW,17,2,312,39,75,0.52,18,46,0.391,21,29,0.724,0.64,2,4,0.5,12,46,58,28,10,4,18,41,98,lamban01
Chuma Okeke,PF,24,ORL,18,7,392,32,87,0.368,18,60,0.3,14,27,0.519,0.471,16,21,0.762,21,55,76,26,11,9,9,34,98,okekech01
Aaron Holiday,PG,26,ATL,21,1,359,36,85,0.424,14,30,0.467,22,55,0.4,0.506,10,13,0.769,9,21,30,29,13,3,17,36,96,holidaa01
Chris Paul,PG,37,PHO,10,10,302,28,76,0.368,9,33,0.273,19,43,0.442,0.428,30,34,0.882,5,40,45,94,17,2,15,23,95,paulch01
Cory Joseph,PG,31,DET,19,2,274,36,81,0.444,13,32,0.406,23,49,0.469,0.525,9,14,0.643,5,13,18,54,5,1,9,29,94,josepco01
Luke Kornet,C,27,BOS,20,0,261,38,56,0.679,2,6,0.333,36,50,0.72,0.696,15,16,0.938,25,47,72,15,3,19,11,33,93,kornelu01
Isaiah Roby,PF,24,SAS,19,0,254,36,81,0.444,12,35,0.343,24,46,0.522,0.519,8,18,0.444,8,44,52,26,9,6,11,26,92,robyis01
Patty Mills,PG,34,BRK,20,0,219,30,71,0.423,21,55,0.382,9,16,0.563,0.57,10,10,1,5,11,16,21,4,1,7,10,91,millspa02
Evan Fournier,SG,30,NYK,13,7,260,31,90,0.344,19,57,0.333,12,33,0.364,0.45,9,11,0.818,2,25,27,22,9,3,14,28,90,fournev01
Kevin Knox,SF,23,DET,18,0,239,33,74,0.446,16,47,0.34,17,27,0.63,0.554,7,11,0.636,9,34,43,7,6,7,8,26,89,knoxke01
Mike Muscala,C,31,OKC,15,1,193,31,70,0.443,15,46,0.326,16,24,0.667,0.55,12,16,0.75,7,44,51,14,2,8,7,24,89,muscami01
Isaiah Joe,SG,23,OKC,17,0,140,29,59,0.492,23,50,0.46,6,9,0.667,0.686,7,9,0.778,2,20,22,16,7,1,6,15,88,joeis01
Malachi Flynn,PG,24,TOR,15,1,170,30,70,0.429,17,36,0.472,13,34,0.382,0.55,10,11,0.909,2,16,18,18,6,1,9,24,87,flynnma01
Derrick Jones Jr.,SF,25,CHI,18,0,230,27,61,0.443,4,18,0.222,23,43,0.535,0.475,28,33,0.848,17,24,41,8,7,12,8,23,86,jonesde02
Donte DiVincenzo,SG,26,GSW,17,1,294,29,77,0.377,17,54,0.315,12,23,0.522,0.487,10,13,0.769,11,41,52,35,17,2,22,33,85,divindo01
Usman Garuba,PF,20,HOU,22,1,339,32,56,0.571,7,11,0.636,25,45,0.556,0.634,14,24,0.583,39,69,108,23,19,16,19,42,85,garubus01
Amir Coffey,SG,25,LAC,21,6,313,25,66,0.379,4,18,0.222,21,48,0.438,0.409,30,37,0.811,9,15,24,27,5,2,10,27,84,coffeam01
Caleb Houstan,SF,20,ORL,20,1,379,28,78,0.359,20,56,0.357,8,22,0.364,0.487,8,10,0.8,14,39,53,16,4,2,5,35,84,houstca01
P.J. Tucker,PF,37,PHI,24,24,687,32,71,0.451,15,38,0.395,17,33,0.515,0.556,4,6,0.667,30,74,104,24,14,7,23,63,83,tuckepj01
Jake LaRavia,PF,21,MEM,16,0,295,29,70,0.414,19,49,0.388,10,21,0.476,0.55,5,5,1,13,37,50,16,9,3,15,33,82,laravja01
Trendon Watford,PF,22,POR,15,2,279,31,55,0.564,3,10,0.3,28,45,0.622,0.591,17,19,0.895,13,48,61,25,7,1,16,28,82,watfotr01
Robert Covington,PF,32,LAC,15,0,234,26,68,0.382,15,44,0.341,11,24,0.458,0.493,14,16,0.875,5,53,58,18,6,10,12,30,81,covinro01
Lamar Stevens,PF,25,CLE,11,8,236,29,63,0.46,7,17,0.412,22,46,0.478,0.516,16,19,0.842,7,24,31,4,4,6,6,16,81,stevela01
Vlatko Čančar,PF,25,DEN,15,0,191,30,64,0.469,14,34,0.412,16,30,0.533,0.578,6,7,0.857,4,21,25,14,7,4,8,22,80,cancavl01
Dyson Daniels,PG,19,NOP,15,2,281,31,62,0.5,9,22,0.409,22,40,0.55,0.573,9,14,0.643,8,50,58,33,11,5,11,29,80,daniedy01
Chris Duarte,SF,25,IND,9,5,177,28,71,0.394,13,38,0.342,15,33,0.455,0.486,11,12,0.917,4,15,19,9,1,4,8,16,80,duartch01
MarJon Beauchamp,SF,22,MIL,15,6,232,30,78,0.385,12,41,0.293,18,37,0.486,0.462,7,10,0.7,14,30,44,6,7,2,18,26,79,beaucma01
Quentin Grimes,SG,22,NYK,14,9,295,32,72,0.444,11,41,0.268,21,31,0.677,0.521,4,5,0.8,10,29,39,24,9,4,13,34,79,grimequ01
Charles Bassey,C,22,SAS,14,0,214,33,48,0.688,2,6,0.333,31,42,0.738,0.708,10,18,0.556,29,55,84,20,6,15,19,34,78,bassech01
Zeke Nnaji,PF,22,DEN,17,0,167,32,55,0.582,3,14,0.214,29,41,0.707,0.609,8,10,0.8,16,8,24,3,3,2,8,25,75,nnajize01
Payton Pritchard,PG,25,BOS,14,0,171,28,68,0.412,14,38,0.368,14,30,0.467,0.515,5,8,0.625,8,14,22,16,5,1,12,6,75,pritcpa01
James Wiseman,C,21,GSW,11,0,147,30,51,0.588,0,0,NA,30,51,0.588,0.588,15,23,0.652,11,31,42,11,1,4,8,26,75,wisemja01
Daishen Nix,PG,20,HOU,22,0,331,24,70,0.343,16,46,0.348,8,24,0.333,0.457,9,13,0.692,8,29,37,54,15,3,31,20,73,nixda01
Romeo Langford,SG,23,SAS,13,2,235,29,64,0.453,3,17,0.176,26,47,0.553,0.477,11,17,0.647,22,13,35,9,7,4,10,23,72,langfro01
Paul Reed,C,23,PHI,21,0,256,32,55,0.582,0,3,0,32,52,0.615,0.582,8,12,0.667,30,54,84,12,22,16,16,52,72,reedpa01
Jericho Sims,C,24,NYK,16,2,217,32,42,0.762,0,0,NA,32,42,0.762,0.762,8,10,0.8,34,42,76,7,5,15,7,32,72,simsje01
Patrick Beverley,PG,34,LAL,17,17,453,22,80,0.275,12,54,0.222,10,26,0.385,0.35,15,19,0.789,12,55,67,43,14,8,15,51,71,beverpa01
Juancho Hernangómez,PF,27,TOR,16,3,271,29,56,0.518,10,29,0.345,19,27,0.704,0.607,3,7,0.429,13,52,65,13,10,3,10,20,71,hernaju01
Moses Brown,C,23,LAC,17,0,101,25,38,0.658,0,0,NA,25,38,0.658,0.658,20,39,0.513,17,27,44,1,1,6,4,16,70,brownmo01
Kevon Harris,SG,25,ORL,17,0,214,22,55,0.4,6,17,0.353,16,38,0.421,0.455,20,24,0.833,18,22,40,9,7,1,14,23,70,harrike01
Moritz Wagner,C,25,ORL,7,3,170,24,51,0.471,3,22,0.136,21,29,0.724,0.5,19,23,0.826,13,34,47,18,4,2,14,26,70,wagnemo01
Duane Washington Jr.,SG,22,PHO,15,0,135,29,77,0.377,11,39,0.282,18,38,0.474,0.448,0,2,0,0,9,9,11,1,1,9,7,69,washidu02
Furkan Korkmaz,SG,25,PHI,13,0,168,22,52,0.423,10,27,0.37,12,25,0.48,0.519,13,18,0.722,4,12,16,13,3,2,10,7,67,korkmfu01
Jordan McLaughlin,PG,26,MIN,16,0,261,25,60,0.417,8,32,0.25,17,28,0.607,0.483,9,9,1,6,23,29,60,14,2,11,6,67,mclaujo01
Kawhi Leonard,SF,31,LAC,6,4,140,26,60,0.433,2,18,0.111,24,42,0.571,0.45,12,15,0.8,5,21,26,19,3,1,6,10,66,leonaka01
Anthony Gill,PF,30,WAS,20,4,240,26,48,0.542,2,13,0.154,24,35,0.686,0.563,11,13,0.846,14,20,34,11,4,5,4,30,65,gillan01
Nikola Jović,PF,19,MIA,10,6,160,21,53,0.396,5,25,0.2,16,28,0.571,0.443,18,19,0.947,7,19,26,10,6,1,8,12,65,jovicni01
JaVale McGee,C,35,DAL,16,7,141,27,46,0.587,0,0,NA,27,46,0.587,0.587,11,20,0.55,11,29,40,4,3,9,16,18,65,mcgeeja01
Bismack Biyombo,C,30,PHO,20,2,243,28,52,0.538,0,0,NA,28,52,0.538,0.538,8,20,0.4,18,49,67,16,6,28,21,36,64,biyombi01
Thomas Bryant,C,25,LAL,8,1,102,26,36,0.722,1,4,0.25,25,32,0.781,0.736,11,20,0.55,7,28,35,5,0,5,2,12,64,bryanth01
Dennis Schröder,PG,29,LAL,8,5,207,21,53,0.396,5,16,0.313,16,37,0.432,0.443,16,18,0.889,1,13,14,33,6,0,9,13,63,schrode01
Gary Harris,SG,28,ORL,6,3,155,23,48,0.479,10,23,0.435,13,25,0.52,0.583,6,6,1,5,11,16,12,4,2,9,13,62,harriga01
Nickeil Alexander-Walker,SG,24,UTA,15,0,158,22,56,0.393,9,28,0.321,13,28,0.464,0.473,8,9,0.889,3,11,14,22,8,4,11,21,61,alexani01
Ousmane Dieng,SF,19,OKC,14,0,220,25,59,0.424,10,34,0.294,15,25,0.6,0.508,1,4,0.25,6,34,40,20,5,4,7,12,61,diengou01
Haywood Highsmith,SF,26,MIA,15,1,282,23,68,0.338,11,36,0.306,12,32,0.375,0.419,4,10,0.4,15,49,64,9,12,6,11,11,61,highsha01
Robin Lopez,C,34,CLE,18,1,173,26,40,0.65,0,0,NA,26,40,0.65,0.65,9,12,0.75,17,9,26,8,1,2,12,23,61,lopezro01
Christian Braun,SG,21,DEN,21,0,267,23,57,0.404,7,20,0.35,16,37,0.432,0.465,7,13,0.538,13,30,43,15,8,3,6,19,60,braunch01
Serge Ibaka,PF,33,MIL,14,0,159,23,44,0.523,6,14,0.429,17,30,0.567,0.591,8,13,0.615,12,28,40,4,0,6,8,20,60,ibakase01
Admiral Schofield,PF,25,ORL,14,0,168,21,46,0.457,11,29,0.379,10,17,0.588,0.576,6,6,1,9,11,20,9,2,2,4,29,59,schofad01
LaMelo Ball,PG,21,CHO,3,3,98,22,53,0.415,10,32,0.313,12,21,0.571,0.509,4,5,0.8,0,11,11,21,3,1,11,8,58,ballla01
Malaki Branham,SF,19,SAS,11,2,188,21,64,0.328,8,35,0.229,13,29,0.448,0.391,8,10,0.8,2,16,18,20,2,2,11,14,58,branhma01
Simone Fontecchio,SF,27,UTA,15,0,133,19,49,0.388,14,35,0.4,5,14,0.357,0.531,6,9,0.667,7,11,18,6,2,3,8,13,58,fontesi01
Ty Jerome,SG,25,GSW,10,0,149,19,35,0.543,7,17,0.412,12,18,0.667,0.643,12,12,1,1,8,9,19,1,1,4,12,57,jeromty01
Wesley Matthews,SG,36,MIL,18,0,279,18,59,0.305,14,47,0.298,4,12,0.333,0.424,7,8,0.875,15,19,34,10,9,4,6,30,57,matthwe02
Rudy Gay,SF,36,UTA,12,0,189,21,58,0.362,9,34,0.265,12,24,0.5,0.44,3,6,0.5,6,35,41,10,5,6,10,16,54,gayru01
Goga Bitadze,C,23,IND,14,0,142,21,39,0.538,2,10,0.2,19,29,0.655,0.564,9,18,0.5,16,18,34,14,6,8,10,27,53,bitadgo01
Willy Hernangómez,C,28,NOP,10,0,99,17,35,0.486,0,3,0,17,32,0.531,0.486,18,22,0.818,15,25,40,5,3,2,11,10,52,hernawi01
Davon Reed,SG,27,DEN,18,1,199,16,53,0.302,11,30,0.367,5,23,0.217,0.406,8,10,0.8,4,24,28,9,5,2,12,21,51,reedda01
Josh Christopher,SG,21,HOU,17,0,122,21,48,0.438,3,14,0.214,18,34,0.529,0.469,5,6,0.833,5,14,19,10,5,1,12,12,50,chrisjo01
Pat Connaughton,SG,30,MIL,7,0,125,16,53,0.302,10,39,0.256,6,14,0.429,0.396,5,6,0.833,3,18,21,4,5,0,1,4,47,connapa01
Josh Okogie,SG,24,PHO,20,0,166,17,51,0.333,3,23,0.13,14,28,0.5,0.363,10,16,0.625,15,25,40,15,12,6,10,21,47,okogijo01
