Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
44,Jevon Carter,PG,26,MIL,11,0,126,9,19,.474,3,7,.429,6,12,.500,.553,2,2,1.000,3,13,16,10,8,0,6,12,23,carteje01
45,Alex Caruso,SG,27,CHI,4,4,113,9,23,.391,7,18,.389,2,5,.400,.543,0,0,,2,9,11,17,5,4,1,11,25,carusal01
46,Marquese Chriss,PF,24,DAL,8,0,30,4,8,.500,1,2,.500,3,6,.500,.563,5,6,.833,4,5,9,0,0,0,1,3,14,chrisma01
47,Brandon Clarke,PF,25,MEM,12,0,296,56,91,.615,0,1,.000,56,90,.622,.615,36,54,.667,37,46,83,24,9,10,12,23,148,clarkbr01
48,Jordan Clarkson,SG,29,UTA,6,0,170,40,73,.548,9,24,.375,31,49,.633,.610,16,18,.889,5,14,19,8,3,1,10,17,105,clarkjo01
49,Nic Claxton,C,22,BRK,4,0,98,19,24,.792,0,0,,19,24,.792,.792,4,22,.182,7,18,25,6,5,9,2,6,42,claxtni01
50,John Collins,PF,24,ATL,5,4,122,19,39,.487,4,11,.364,15,28,.536,.538,5,10,.500,2,21,23,6,2,1,5,12,47,collijo01
51,Mike Conley,PG,34,UTA,6,6,174,19,57,.333,5,25,.200,14,32,.438,.377,12,15,.800,2,17,19,29,5,2,13,19,55,conlemi01
52,Pat Connaughton,SF,29,MIL,12,0,318,42,88,.477,25,64,.391,17,24,.708,.619,5,5,1.000,3,48,51,11,5,4,7,14,114,connapa01
53,DeMarcus Cousins,C,31,DEN,5,0,57,19,29,.655,4,6,.667,15,23,.652,.724,11,15,.733,3,14,17,6,3,1,7,9,53,couside01
54,Torrey Craig,SF,31,PHO,9,0,69,8,22,.364,3,10,.300,5,12,.417,.432,1,2,.500,5,10,15,5,4,2,4,6,20,craigto01
55,Jae Crowder,PF,31,PHO,13,13,383,42,105,.400,19,63,.302,23,42,.548,.490,19,26,.731,8,53,61,31,13,7,19,47,122,crowdja01
56,Jarrett Culver,SG,22,MEM,3,0,22,3,10,.300,0,2,.000,3,8,.375,.300,1,2,.500,2,5,7,1,2,0,2,4,7,culveja01
57,Seth Curry,SG,31,BRK,4,4,132,22,39,.564,12,23,.522,10,16,.625,.718,2,3,.667,2,8,10,12,1,3,3,15,58,curryse01
58,Stephen Curry,PG,33,GSW,22,18,764,202,440,.459,91,229,.397,111,211,.526,.563,107,129,.829,11,104,115,129,29,8,57,59,602,curryst01
59,Dewayne Dedmon,C,32,MIA,14,0,138,21,45,.467,1,10,.100,20,35,.571,.478,10,12,.833,15,27,42,5,1,3,7,36,53,dedmode01
60,DeMar DeRozan,PF,32,CHI,5,5,203,39,95,.411,0,9,.000,39,86,.453,.411,26,30,.867,1,26,27,24,9,2,11,12,104,derozde01
61,Gorgui Dieng,C,32,ATL,2,0,10,1,2,.500,0,1,.000,1,1,1.000,.500,1,1,1.000,1,2,3,0,0,0,0,0,3,dienggo01
62,Spencer Dinwiddie,SG,28,DAL,18,3,501,80,192,.417,40,96,.417,40,96,.417,.521,55,67,.821,8,36,44,65,15,6,29,42,255,dinwisp01
63,Luka Dončić,PG,22,DAL,15,15,552,160,352,.455,51,148,.345,109,204,.534,.527,104,135,.770,10,137,147,96,27,9,59,44,475,doncilu01
64,Ayo Dosunmu,SG,22,CHI,5,1,86,8,26,.308,3,13,.231,5,13,.385,.365,1,1,1.000,4,9,13,11,1,0,3,5,20,dosunay01
65,Goran Dragić,PG,35,BRK,4,0,79,18,32,.563,4,12,.333,14,20,.700,.625,2,2,1.000,6,12,18,6,3,0,5,11,42,dragigo01
66,Andre Drummond,C,28,BRK,4,4,60,6,11,.545,0,0,,6,11,.545,.545,3,5,.600,3,9,12,3,5,3,6,12,15,drumman01
67,Kevin Durant,PF,33,BRK,4,4,176,32,83,.386,7,21,.333,25,62,.403,.428,34,38,.895,2,21,23,25,4,1,21,15,105,duranke01
68,Anthony Edwards,SG,20,MIN,6,6,227,50,110,.455,23,57,.404,27,53,.509,.559,28,34,.824,4,21,25,18,7,7,15,22,151,edwaran01
69,Kessler Edwards,SF,21,BRK,2,0,7,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,1,0,1,3,0,edwarke02
70,Joel Embiid,C,27,PHI,10,10,385,78,161,.484,7,33,.212,71,128,.555,.506,73,89,.820,21,86,107,21,4,8,32,34,236,embiijo01
71,Dorian Finney-Smith,PF,28,DAL,18,18,688,74,157,.471,46,108,.426,28,49,.571,.618,17,24,.708,32,67,99,35,17,7,18,53,211,finnedo01
72,Malik Fitts,PF,24,BOS,9,0,16,3,4,.750,2,2,1.000,1,2,.500,1.000,0,0,,0,2,2,0,0,0,0,0,8,fittsma01
73,Malachi Flynn,PG,23,TOR,6,0,36,0,7,.000,0,3,.000,0,4,.000,.000,0,0,,2,1,3,3,1,0,1,6,0,flynnma01
74,Bryn Forbes,SG,28,DEN,5,0,76,6,15,.400,4,11,.364,2,4,.500,.533,4,5,.800,1,2,3,7,1,0,2,7,20,forbebr01
75,Danilo Gallinari,PF,33,ATL,5,3,112,18,45,.400,4,15,.267,14,30,.467,.444,11,11,1.000,2,19,21,4,1,0,5,6,51,gallida01
76,Rudy Gobert,C,29,UTA,6,6,197,21,33,.636,0,0,,21,33,.636,.636,30,44,.682,21,58,79,3,1,6,8,19,72,goberru01
77,Aaron Gordon,PF,26,DEN,5,5,160,23,54,.426,3,15,.200,20,39,.513,.454,20,28,.714,18,18,36,13,2,6,8,14,69,gordoaa01
78,Devonte' Graham,PG,26,NOP,6,0,60,6,18,.333,5,14,.357,1,4,.250,.472,7,8,.875,2,7,9,4,1,1,4,3,24,grahade01
79,Danny Green,SF,34,PHI,12,12,319,36,89,.404,31,76,.408,5,13,.385,.579,0,1,.000,9,28,37,10,12,4,13,23,103,greenda02
80,Draymond Green,PF,31,GSW,22,22,703,69,144,.479,8,39,.205,61,105,.581,.507,30,47,.638,26,133,159,138,25,22,59,87,176,greendr01
81,JaMychal Green,PF,31,DEN,5,0,69,6,16,.375,1,5,.200,5,11,.455,.406,7,7,1.000,3,9,12,2,0,1,2,12,20,greenja01
82,Javonte Green,SF,28,CHI,5,1,72,3,17,.176,0,6,.000,3,11,.273,.176,1,2,.500,8,7,15,2,9,0,4,8,7,greenja02
83,Jeff Green,PF,35,DEN,5,5,113,6,17,.353,3,8,.375,3,9,.333,.441,4,5,.800,7,11,18,2,3,2,2,6,19,greenje02
84,Josh Green,SG,21,DAL,16,0,121,8,28,.286,5,22,.227,3,6,.500,.375,2,8,.250,1,11,12,7,5,0,0,16,23,greenjo02
85,Blake Griffin,C,32,BRK,2,0,25,2,7,.286,2,5,.400,0,2,.000,.429,2,2,1.000,2,2,4,4,1,1,1,3,8,griffbl01
86,James Harden,PG,32,PHI,12,12,479,64,158,.405,28,76,.368,36,82,.439,.494,67,75,.893,11,57,68,103,9,8,50,29,223,hardeja01
87,Tobias Harris,PF,29,PHI,12,12,466,81,162,.500,22,57,.386,59,105,.562,.568,19,22,.864,10,81,91,35,13,10,18,35,203,harrito02
88,Sam Hauser,SF,24,BOS,7,0,15,1,4,.250,1,3,.333,0,1,.000,.375,2,2,1.000,0,1,1,2,0,0,0,0,5,hausesa01
89,Jaxson Hayes,C,21,NOP,6,6,83,14,25,.560,0,3,.000,14,22,.636,.560,7,11,.636,4,11,15,1,0,2,4,11,35,hayesja02
90,Juancho Hernangómez,PF,26,UTA,6,0,56,5,18,.278,4,12,.333,1,6,.167,.389,0,0,,2,10,12,5,2,0,2,4,14,hernaju01
91,Willy Hernangómez,C,27,NOP,1,0,2,1,4,.250,0,1,.000,1,3,.333,.250,0,0,,2,0,2,0,0,0,0,1,2,hernawi01
92,Tyler Herro,SG,22,MIA,15,0,381,74,181,.409,16,70,.229,58,111,.523,.453,25,27,.926,7,51,58,42,9,6,27,21,189,herroty01
93,Haywood Highsmith,SF,25,MIA,8,0,31,3,7,.429,3,5,.600,0,2,.000,.643,0,0,,2,3,5,3,0,0,3,2,9,highsha01
94,George Hill,PG,35,MIL,5,0,76,1,5,.200,1,2,.500,0,3,.000,.300,2,2,1.000,1,5,6,3,0,0,1,10,5,hillge01
95,Aaron Holiday,PG,25,PHO,6,0,20,8,14,.571,5,7,.714,3,7,.429,.750,0,1,.000,3,0,3,9,3,1,0,1,21,holidaa01
96,Jrue Holiday,PG,31,MIL,12,12,463,89,235,.379,25,79,.316,64,156,.410,.432,26,31,.839,12,55,67,78,21,7,34,28,229,holidjr01
97,Al Horford,C,35,BOS,23,23,815,101,193,.523,47,98,.480,54,95,.568,.645,28,36,.778,35,179,214,76,19,31,29,64,277,horfoal01
98,Danuel House Jr.,SF,28,UTA,6,0,112,9,22,.409,2,10,.200,7,12,.583,.455,6,8,.750,2,15,17,4,0,1,6,7,26,houseda01
99,Kevin Huerter,SF,23,ATL,5,5,154,17,47,.362,9,31,.290,8,16,.500,.457,3,4,.750,1,14,15,19,6,3,11,15,46,huertke01
100,De'Andre Hunter,SF,24,ATL,5,5,175,39,70,.557,12,26,.462,27,44,.614,.643,16,20,.800,2,17,19,3,4,1,11,20,106,huntede01
101,Bones Hyland,SG,21,DEN,5,0,87,13,36,.361,8,23,.348,5,13,.385,.472,12,14,.857,1,9,10,16,1,0,6,12,46,hylanbo01
102,Serge Ibaka,C,32,MIL,6,0,22,4,16,.250,0,3,.000,4,13,.308,.250,1,2,.500,2,8,10,0,0,0,2,1,9,ibakase01
103,Andre Iguodala,SF,38,GSW,7,0,61,4,9,.444,1,3,.333,3,6,.500,.500,2,3,.667,3,4,7,12,0,2,4,11,11,iguodan01
104,Brandon Ingram,SF,24,NOP,6,6,236,56,118,.475,11,27,.407,45,91,.495,.521,39,47,.830,4,33,37,37,4,2,23,11,162,ingrabr01
105,Kyrie Irving,PG,29,BRK,4,4,170,28,63,.444,8,21,.381,20,42,.476,.508,21,21,1.000,6,15,21,21,7,5,9,13,85,irvinky01
106,Jaren Jackson Jr.,PF,22,MEM,12,12,332,59,156,.378,27,72,.375,32,84,.381,.465,40,53,.755,26,55,81,11,9,30,17,53,185,jacksja02
107,Isaiah Joe,SG,22,PHI,7,0,15,2,5,.400,1,3,.333,1,2,.500,.500,0,0,,0,2,2,0,0,0,3,1,5,joeis01
108,Cameron Johnson,PF,25,PHO,13,3,320,46,99,.465,22,59,.373,24,40,.600,.576,26,32,.813,9,37,46,20,5,1,12,31,140,johnsca02
109,Jalen Johnson,PF,20,ATL,2,0,9,0,3,.000,0,1,.000,0,2,.000,.000,0,0,,0,0,0,0,0,0,1,0,0,johnsja05
110,Nikola Jokić,C,26,DEN,5,5,171,61,106,.575,5,18,.278,56,88,.636,.599,28,33,.848,17,49,66,29,8,5,24,20,155,jokicni01
111,Derrick Jones Jr.,PF,24,CHI,5,0,59,7,17,.412,3,11,.273,4,6,.667,.500,2,3,.667,3,4,7,2,1,0,3,8,19,jonesde02
112,Herbert Jones,PF,23,NOP,6,6,226,21,44,.477,5,12,.417,16,32,.500,.534,17,22,.773,8,12,20,11,11,5,8,22,64,joneshe01
113,Tyus Jones,PG,25,MEM,12,3,262,39,99,.394,18,45,.400,21,54,.389,.485,14,15,.933,4,35,39,54,14,2,13,8,110,jonesty01
114,DeAndre Jordan,C,33,PHI,3,2,31,5,5,1.000,0,0,,5,5,1.000,1.000,0,0,,1,6,7,1,0,2,2,4,10,jordade01
115,Maxi Kleber,PF,30,DAL,18,0,457,54,106,.509,34,78,.436,20,28,.714,.670,15,21,.714,15,67,82,20,4,15,11,49,157,klebima01
116,Kevin Knox,SF,22,ATL,2,0,9,7,11,.636,6,10,.600,1,1,1.000,.909,2,2,1.000,0,2,2,0,2,0,3,0,22,knoxke01
117,John Konchar,SG,25,MEM,8,0,56,3,11,.273,1,6,.167,2,5,.400,.318,2,2,1.000,3,16,19,5,3,1,1,7,9,konchjo01
118,Furkan Korkmaz,SG,24,PHI,9,0,61,11,23,.478,4,10,.400,7,13,.538,.565,2,2,1.000,1,11,12,4,1,1,2,7,28,korkmfu01
119,Luke Kornet,C,26,BOS,9,0,19,3,4,.750,1,1,1.000,2,3,.667,.875,0,0,,1,4,5,1,0,0,1,1,7,kornelu01
120,Jonathan Kuminga,SF,19,GSW,16,3,138,30,60,.500,3,13,.231,27,47,.574,.525,20,26,.769,4,23,27,8,3,2,11,11,83,kuminjo01
121,Zach LaVine,SG,26,CHI,4,4,153,27,63,.429,9,24,.375,18,39,.462,.500,14,15,.933,0,21,21,24,3,1,12,9,77,lavinza01
122,Damion Lee,SG,29,GSW,16,0,124,13,34,.382,4,16,.250,9,18,.500,.441,2,3,.667,5,21,26,7,1,0,6,8,32,leeda03
123,Kevon Looney,C,25,GSW,22,13,448,58,88,.659,0,0,,58,88,.659,.659,11,18,.611,63,105,168,48,9,10,19,50,127,looneke01
124,Brook Lopez,C,33,MIL,12,12,332,50,102,.490,6,28,.214,44,74,.595,.520,21,23,.913,27,44,71,8,6,18,11,33,127,lopezbr01
125,Kyle Lowry,PG,35,MIA,10,10,295,25,86,.291,13,54,.241,12,32,.375,.366,15,19,.789,3,33,36,47,12,7,19,29,78,lowryky01
126,Timothé Luwawu-Cabarrot,SF,26,ATL,4,0,22,2,4,.500,1,3,.333,1,1,1.000,.625,0,0,,0,3,3,2,0,0,1,6,5,luwawti01
127,Boban Marjanović,C,33,DAL,3,0,6,1,4,.250,0,0,,1,4,.250,.250,2,2,1.000,0,3,3,0,1,0,2,0,4,marjabo01
128,Naji Marshall,SF,24,NOP,6,0,56,7,10,.700,0,0,,7,10,.700,.700,4,4,1.000,3,3,6,5,1,1,3,5,18,marshna01
129,Caleb Martin,SF,26,MIA,17,0,209,32,80,.400,10,33,.303,22,47,.468,.463,2,6,.333,12,25,37,5,10,2,10,17,76,martica02
130,Wesley Matthews,SG,35,MIL,12,12,345,25,64,.391,18,45,.400,7,19,.368,.531,6,9,.667,9,28,37,14,9,3,6,27,74,matthwe02
131,Tyrese Maxey,PG,21,PHI,12,12,485,88,182,.484,26,69,.377,62,113,.549,.555,47,50,.940,6,36,42,47,9,2,21,24,249,maxeyty01
132,Skylar Mays,SG,24,ATL,2,0,9,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,1,1,1,1,0,0,1,2,mayssk01
133,CJ McCollum,SG,30,NOP,6,6,234,49,125,.392,17,51,.333,32,74,.432,.460,18,26,.692,11,29,40,29,4,5,15,15,133,mccolcj01
134,Jaden McDaniels,PF,21,MIN,6,0,130,18,34,.529,10,20,.500,8,14,.571,.676,10,12,.833,5,12,17,4,2,11,6,18,56,mcdanja02
135,JaVale McGee,C,34,PHO,12,0,133,35,50,.700,0,1,.000,35,49,.714,.700,11,13,.846,16,32,48,7,3,5,9,27,81,mcgeeja01
136,Jordan McLaughlin,PG,25,MIN,5,0,83,12,17,.706,4,7,.571,8,10,.800,.824,3,4,.750,0,12,12,17,5,0,2,5,31,mclaujo01
137,De'Anthony Melton,SG,23,MEM,10,0,170,21,65,.323,11,44,.250,10,21,.476,.408,3,4,.750,9,22,31,16,10,5,14,9,56,meltode01
138,Khris Middleton,SF,30,MIL,2,2,72,10,24,.417,6,14,.429,4,10,.400,.542,3,3,1.000,1,9,10,14,3,0,11,6,29,middlkh01
139,Patty Mills,SG,33,BRK,4,0,72,9,16,.563,7,13,.538,2,3,.667,.781,0,0,,0,4,4,0,0,1,1,5,25,millspa02
140,Paul Millsap,C,36,PHI,1,0,6,0,0,,0,0,,0,0,,,0,0,,0,1,1,1,0,0,0,1,0,millspa01
141,Shake Milton,SG,25,PHI,12,0,158,18,38,.474,8,15,.533,10,23,.435,.579,16,20,.800,4,15,19,11,6,3,5,13,60,miltosh01
142,Donovan Mitchell,SG,25,UTA,6,6,229,53,133,.398,10,48,.208,43,85,.506,.436,37,42,.881,6,20,26,34,4,3,16,14,153,mitchdo01
143,Greg Monroe,C,31,MIN,2,0,7,2,5,.400,0,0,,2,5,.400,.400,0,0,,1,1,2,1,2,0,1,1,4,monrogr01
144,Moses Moody,SG,19,GSW,13,0,105,15,28,.536,7,13,.538,8,15,.533,.661,4,6,.667,2,6,8,4,3,3,3,4,41,moodymo01
145,Ja Morant,PG,22,MEM,9,9,338,81,184,.440,17,50,.340,64,134,.478,.486,65,87,.747,13,59,72,88,18,4,32,22,244,moranja01
146,Juwan Morgan,PF,24,BOS,9,0,15,0,1,.000,0,1,.000,0,0,,.000,1,2,.500,2,1,3,0,0,0,0,1,1,morgaju01
147,Markieff Morris,PF,32,MIA,1,0,3,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,1,1,0,0,0,1,2,0,morrima02
148,Monte Morris,PG,26,DEN,5,5,156,25,51,.490,11,26,.423,14,25,.560,.598,9,12,.750,1,10,11,27,6,0,8,14,70,morrimo01
149,Trey Murphy III,SF,21,NOP,6,0,120,9,22,.409,9,19,.474,0,3,.000,.614,4,5,.800,3,12,15,3,3,1,1,9,31,murphtr02
150,Svi Mykhailiuk,SF,24,TOR,3,0,5,0,2,.000,0,2,.000,0,0,,.000,1,1,1.000,0,1,1,0,0,0,0,1,1,mykhasv01
151,Larry Nance Jr.,PF,29,NOP,6,0,130,22,39,.564,2,9,.222,20,30,.667,.590,9,11,.818,19,16,35,11,3,2,6,15,55,nancela02
152,Aaron Nesmith,SF,22,BOS,15,0,52,4,17,.235,1,11,.091,3,6,.500,.265,3,4,.750,4,11,15,3,2,4,1,6,12,nesmiaa01
153,Georges Niang,PF,28,PHI,12,0,198,20,48,.417,16,43,.372,4,5,.800,.583,2,2,1.000,4,14,18,11,3,0,7,30,58,niangge01
154,Zeke Nnaji,PF,21,DEN,2,0,9,1,1,1.000,1,1,1.000,0,0,,1.500,0,0,,0,0,0,0,0,0,0,2,3,nnajize01
155,Jaylen Nowell,SG,22,MIN,1,0,12,3,10,.300,0,5,.000,3,5,.600,.300,0,0,,0,0,0,1,1,0,0,1,6,nowelja01
156,Frank Ntilikina,SG,23,DAL,12,0,125,8,24,.333,6,20,.300,2,4,.500,.458,1,1,1.000,2,10,12,9,8,1,6,19,23,ntilila01
157,Jordan Nwora,SF,23,MIL,8,0,20,2,9,.222,0,4,.000,2,5,.400,.222,0,2,.000,0,3,3,2,0,0,0,0,4,nworajo01
158,Royce O'Neale,SF,28,UTA,6,6,188,14,35,.400,7,25,.280,7,10,.700,.500,2,2,1.000,6,28,34,9,3,1,3,16,37,onealro01
159,Josh Okogie,SG,23,MIN,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,okogijo01
160,Onyeka Okongwu,C,21,ATL,5,1,108,9,16,.563,0,0,,9,16,.563,.563,8,10,.800,11,16,27,2,4,4,4,19,26,okongon01
161,Victor Oladipo,SG,29,MIA,15,1,368,50,136,.368,17,62,.274,33,74,.446,.430,42,53,.792,4,47,51,31,19,4,25,29,159,oladivi01
162,Eric Paschall,PF,25,UTA,4,0,24,3,6,.500,1,2,.500,2,4,.500,.583,1,1,1.000,1,4,5,0,1,0,0,3,8,pascher01
163,Chris Paul,PG,36,PHO,13,13,448,87,155,.561,19,49,.388,68,106,.642,.623,35,37,.946,7,47,54,108,19,2,31,40,228,paulch01
164,Cameron Payne,PG,27,PHO,13,0,172,22,74,.297,5,30,.167,17,44,.386,.331,5,6,.833,2,18,20,27,7,1,13,25,54,payneca01
165,Elfrid Payton,PG,27,PHO,2,0,8,2,3,.667,0,0,,2,3,.667,.667,0,0,,0,0,0,3,0,0,0,0,4,paytoel01
166,Gary Payton II,SG,29,GSW,12,2,203,29,44,.659,8,15,.533,21,29,.724,.750,12,18,.667,13,24,37,16,14,7,6,23,78,paytoga02
167,Jordan Poole,SG,22,GSW,22,5,606,129,254,.508,50,128,.391,79,126,.627,.606,65,71,.915,10,52,62,83,17,8,53,62,373,poolejo01
168,Otto Porter Jr.,PF,28,GSW,19,3,371,38,77,.494,19,47,.404,19,30,.633,.617,7,9,.778,12,53,65,34,17,6,12,34,102,porteot01
169,Bobby Portis,C,26,MIL,12,5,298,48,115,.417,14,47,.298,34,68,.500,.478,17,22,.773,25,95,120,9,5,3,16,26,127,portibo01
170,Dwight Powell,C,30,DAL,18,18,249,22,35,.629,0,2,.000,22,33,.667,.629,14,23,.609,17,30,47,4,3,6,9,40,58,poweldw01
171,Taurean Prince,PF,27,MIN,5,0,65,10,27,.370,4,14,.286,6,13,.462,.444,6,7,.857,1,7,8,6,2,1,4,5,30,princta02
172,Payton Pritchard,PG,24,BOS,24,0,309,43,102,.422,24,72,.333,19,30,.633,.539,4,6,.667,10,36,46,38,6,2,9,23,114,pritcpa01
