Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Precious Achiuwa,C,22,TOR,6,1,167,25,52,.481,5,16,.313,20,36,.556,.529,6,10,.600,8,21,29,6,1,5,9,14,61,achiupr01
2,Steven Adams,C,28,MEM,7,5,114,9,21,.429,0,0,,9,21,.429,.429,6,11,.545,15,30,45,15,1,1,4,12,24,adamsst01
3,Bam Adebayo,C,24,MIA,18,18,614,104,175,.594,0,1,.000,104,174,.598,.594,58,76,.763,37,107,144,48,18,13,38,55,266,adebaba01
4,Nickeil Alexander-Walker,SG,23,UTA,1,0,5,2,2,1.000,0,0,,2,2,1.000,1.000,1,1,1.000,0,1,1,1,1,0,0,0,5,alexani01
5,Grayson Allen,SG,26,MIL,12,5,305,37,82,.451,19,48,.396,18,34,.529,.567,7,11,.636,5,30,35,15,8,4,9,22,100,allengr01
6,Jose Alvarado,PG,23,NOP,6,0,117,16,33,.485,6,16,.375,10,17,.588,.576,10,13,.769,2,6,8,9,7,1,7,18,48,alvarjo01
7,Kyle Anderson,PF,28,MEM,12,1,221,29,51,.569,3,12,.250,26,39,.667,.598,11,18,.611,10,42,52,21,11,7,10,22,72,anderky01
8,Giannis Antetokounmpo,PF,27,MIL,12,12,448,140,285,.491,9,41,.220,131,244,.537,.507,91,134,.679,26,144,170,81,8,15,54,43,380,antetgi01
9,Thanasis Antetokounmpo,SF,29,MIL,8,0,20,2,3,.667,0,0,,2,3,.667,.667,1,3,.333,1,3,4,1,1,0,0,4,5,antetth01
10,OG Anunoby,SF,24,TOR,6,6,217,39,82,.476,14,41,.341,25,41,.610,.561,12,16,.750,7,17,24,15,6,1,10,18,104,anunoog01
11,Deandre Ayton,C,23,PHO,13,13,397,105,164,.640,2,4,.500,103,160,.644,.646,21,33,.636,33,83,116,22,5,10,19,34,233,aytonde01
12,Desmond Bane,SG,23,MEM,12,12,428,76,159,.478,43,88,.489,33,71,.465,.613,30,35,.857,5,40,45,26,11,9,16,23,225,banede01
13,Dalano Banton,PG,22,TOR,4,0,8,2,2,1.000,0,0,,2,2,1.000,1.000,3,6,.500,2,0,2,1,1,0,1,0,7,bantoda01
14,Scottie Barnes,PF,20,TOR,4,3,133,18,42,.429,2,12,.167,16,30,.533,.452,13,16,.813,7,29,36,17,4,1,5,12,51,barnesc01
15,Will Barton,SG,31,DEN,5,5,172,27,66,.409,11,28,.393,16,38,.421,.492,4,6,.667,5,23,28,14,4,1,10,11,69,bartowi01
16,Charles Bassey,C,21,PHI,3,0,12,1,2,.500,0,0,,1,2,.500,.500,0,1,.000,1,4,5,1,0,1,0,1,2,bassech01
17,Malik Beasley,SG,25,MIN,6,0,119,19,44,.432,8,25,.320,11,19,.579,.523,5,6,.833,2,18,20,4,2,1,7,9,51,beaslma01
18,Dāvis Bertāns,PF,29,DAL,18,0,192,22,55,.400,19,51,.373,3,4,.750,.573,10,12,.833,4,22,26,6,8,2,3,25,73,bertada01
19,Patrick Beverley,PG,33,MIN,6,6,194,21,49,.429,9,26,.346,12,23,.522,.520,15,22,.682,4,15,19,29,7,7,12,28,66,beverpa01
20,Khem Birch,C,29,TOR,6,4,63,8,16,.500,2,4,.500,6,12,.500,.563,0,0,,4,5,9,3,1,1,3,13,18,birchkh01
21,Bismack Biyombo,C,29,PHO,9,0,86,11,17,.647,0,0,,11,17,.647,.647,3,6,.500,8,11,19,5,1,2,6,13,25,biyombi01
22,Nemanja Bjelica,C,33,GSW,15,0,150,18,34,.529,3,8,.375,15,26,.577,.574,4,7,.571,6,25,31,17,4,2,7,21,43,bjeline01
23,Bogdan Bogdanović,SG,29,ATL,4,0,107,20,49,.408,9,26,.346,11,23,.478,.500,8,10,.800,4,15,19,12,1,1,4,12,57,bogdabo01
24,Bojan Bogdanović,PF,32,UTA,6,6,214,39,81,.481,11,33,.333,28,48,.583,.549,19,24,.792,3,22,25,10,2,0,12,24,108,bogdabo02
25,Isaac Bonga,SF,22,TOR,1,0,3,0,0,,0,0,,0,0,,,2,2,1.000,0,1,1,0,0,0,0,1,2,bongais01
26,Devin Booker,SG,25,PHO,10,10,366,79,175,.451,28,65,.431,51,110,.464,.531,47,53,.887,10,38,48,44,5,4,32,25,233,bookede01
27,Chris Boucher,SF,29,TOR,6,0,130,26,42,.619,6,15,.400,20,27,.741,.690,9,10,.900,12,23,35,1,1,7,2,13,67,bouchch01
28,Tony Bradley,C,24,CHI,2,0,8,5,5,1.000,0,0,,5,5,1.000,1.000,0,0,,0,4,4,1,0,0,0,0,10,bradlto01
29,Mikal Bridges,SF,25,PHO,13,13,500,66,138,.478,13,33,.394,53,105,.505,.525,28,30,.933,12,49,61,37,14,13,11,31,173,bridgmi01
30,Armoni Brooks,PG,23,TOR,4,0,8,0,4,.000,0,4,.000,0,0,,.000,0,0,,0,2,2,0,0,0,0,0,0,brookar01
31,Dillon Brooks,SF,26,MEM,11,11,335,60,172,.349,25,72,.347,35,100,.350,.422,16,25,.640,8,22,30,30,11,3,22,36,161,brookdi01
32,Bruce Brown,SF,25,BRK,4,4,139,21,37,.568,6,14,.429,15,23,.652,.649,8,10,.800,6,13,19,11,5,3,9,16,56,brownbr01
33,Jaylen Brown,SF,25,BOS,24,24,920,197,419,.470,60,161,.373,137,258,.531,.542,100,131,.763,33,133,166,85,27,10,74,71,554,brownja02
34,Sterling Brown,SG,26,DAL,9,0,26,3,10,.300,0,4,.000,3,6,.500,.300,5,7,.714,1,7,8,3,4,2,3,0,11,brownst02
35,Troy Brown Jr.,SF,22,CHI,3,0,37,5,17,.294,2,11,.182,3,6,.500,.353,0,0,,1,7,8,3,2,0,3,2,12,browntr01
36,Jalen Brunson,SG,25,DAL,18,18,629,145,311,.466,26,75,.347,119,236,.504,.508,72,90,.800,15,68,83,66,14,1,19,38,388,brunsja01
37,Reggie Bullock,SF,30,DAL,18,18,707,61,151,.404,52,131,.397,9,20,.450,.576,16,18,.889,8,74,82,30,22,1,8,48,190,bullore01
38,Trey Burke,PG,29,DAL,10,0,37,11,22,.500,4,10,.400,7,12,.583,.591,6,6,1.000,0,3,3,4,1,0,1,3,32,burketr01
39,Jared Butler,SG,21,UTA,1,0,5,0,2,.000,0,0,,0,2,.000,.000,0,0,,0,1,1,0,0,0,0,0,0,butleja02
40,Jimmy Butler,SF,32,MIA,17,17,629,166,328,.506,23,68,.338,143,260,.550,.541,111,132,.841,41,84,125,78,35,11,25,25,466,butleji01
41,Facundo Campazzo,PG,30,DEN,4,0,13,0,2,.000,0,2,.000,0,0,,.000,0,0,,0,3,3,2,0,0,2,3,0,campafa01
42,Vlatko Čančar,PF,24,DEN,2,0,9,2,3,.667,1,2,.500,1,1,1.000,.833,0,0,,0,2,2,1,0,0,2,0,5,cancavl01
43,Clint Capela,C,27,ATL,2,2,40,2,6,.333,0,0,,2,6,.333,.333,0,0,,4,11,15,0,1,1,1,2,4,capelca01
