Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Jaylen Adams,PG,23,POR,3,0,21,3,9,.333,0,4,.000,3,5,.600,.333,0,0,,1,2,3,2,1,0,0,1,6,adamsja01
2,Steven Adams,C,26,OKC,7,7,210,31,52,.596,0,1,.000,31,51,.608,.596,9,20,.450,34,47,81,9,4,2,16,10,71,adamsst01
3,Bam Adebayo,PF,22,MIA,19,19,687,124,220,.564,0,1,.000,124,219,.566,.564,90,115,.783,47,149,196,84,19,16,47,58,338,adebaba01
4,Jarrett Allen,C,21,BRK,4,4,132,14,24,.583,0,0,,14,24,.583,.583,13,16,.813,17,42,59,9,2,7,11,7,41,allenja01
5,Justin Anderson,SG,26,BRK,3,0,28,5,12,.417,5,11,.455,0,1,.000,.625,4,4,1.000,0,8,8,3,0,1,2,2,19,anderju01
6,Giannis Antetokounmpo,PF,25,MIL,9,9,277,90,161,.559,13,40,.325,77,121,.636,.599,47,81,.580,27,97,124,51,6,8,30,31,240,antetgi01
7,Carmelo Anthony,PF,35,POR,5,5,176,28,68,.412,8,19,.421,20,49,.408,.471,12,14,.857,1,24,25,10,5,2,13,20,76,anthoca01
8,OG Anunoby,SF,22,TOR,11,11,393,40,88,.455,17,41,.415,23,47,.489,.551,18,28,.643,26,50,76,13,11,13,16,27,115,anunoog01
9,D.J. Augustin,PG,32,ORL,5,0,128,18,46,.391,8,17,.471,10,29,.345,.478,22,23,.957,0,10,10,30,1,0,12,6,66,augusdj01
10,J.J. Barea,PG,35,DAL,1,0,5,0,1,.000,0,0,,0,1,.000,.000,3,3,1.000,0,0,0,0,0,0,1,1,3,bareajo01
11,Keita Bates-Diop,SF,24,DEN,5,0,24,1,5,.200,0,0,,1,5,.200,.200,1,2,.500,3,3,6,1,0,0,0,0,3,bateske01
12,Darius Bazley,PF,19,OKC,7,0,126,13,31,.419,11,22,.500,2,9,.222,.597,9,10,.900,2,45,47,6,0,3,6,2,46,bazleda01
13,Patrick Beverley,PG,31,LAC,8,8,166,20,39,.513,8,22,.364,12,17,.706,.615,2,4,.500,9,24,33,19,8,3,7,31,50,beverpa01
