Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Precious Achiuwa,PF,21,MIA,3,0,12,3,4,.750,0,0,,3,4,.750,.750,1,4,.250,0,6,6,0,0,2,4,1,7,achiupr01
2,Bam Adebayo,C,23,MIA,4,4,136,26,57,.456,0,0,,26,57,.456,.456,10,13,.769,14,23,37,17,5,2,11,11,62,adebaba01
3,Ty-Shon Alexander,SG,22,PHO,1,0,1,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,0,0,0,0,0,0,0,2,alexaty01
4,Grayson Allen,SG,25,MEM,5,0,116,12,33,.364,8,21,.381,4,12,.333,.485,0,1,.000,3,10,13,1,2,1,1,13,32,allengr01
5,Kyle Anderson,PF,27,MEM,5,5,142,18,42,.429,3,12,.250,15,30,.500,.464,3,4,.750,4,21,25,16,14,0,4,9,42,anderky01
6,Giannis Antetokounmpo,PF,26,MIL,21,21,800,250,439,.569,13,70,.186,237,369,.642,.584,121,206,.587,59,210,269,108,21,25,64,61,634,antetgi01
7,Thanasis Antetokounmpo,SF,28,MIL,13,0,45,2,7,.286,0,0,,2,7,.286,.286,5,6,.833,3,7,10,3,5,2,3,12,9,antetth01
8,Carmelo Anthony,PF,36,POR,6,0,143,25,60,.417,14,37,.378,11,23,.478,.533,10,11,.909,2,17,19,9,2,1,7,15,74,anthoca01
9,Trevor Ariza,SF,35,MIA,4,4,96,7,23,.304,5,17,.294,2,6,.333,.413,0,0,,2,21,23,2,3,1,3,11,19,arizatr01
10,Deandre Ayton,C,22,PHO,22,22,801,154,234,.658,0,0,,154,234,.658,.658,39,53,.736,67,193,260,25,18,24,28,63,347,aytonde01
11,Udoka Azubuike,C,21,UTA,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0,azubuud01
12,Desmond Bane,SG,22,MEM,5,0,99,11,19,.579,6,12,.500,5,7,.714,.737,0,0,,2,15,17,10,4,2,3,6,28,banede01
13,RJ Barrett,SG,20,NYK,5,5,162,26,67,.388,8,28,.286,18,39,.462,.448,12,15,.800,4,32,36,15,4,2,2,11,72,barrerj01
14,Will Barton,SF,30,DEN,3,1,83,19,43,.442,7,21,.333,12,22,.545,.523,4,4,1.000,1,12,13,8,2,1,4,4,49,bartowi01
15,Nicolas Batum,SF,32,LAC,19,10,555,53,109,.486,28,72,.389,25,37,.676,.615,19,23,.826,19,86,105,39,24,10,6,26,153,batumni01
16,Bradley Beal,SG,27,WAS,5,5,195,56,123,.455,7,32,.219,49,91,.538,.484,31,36,.861,6,25,31,21,4,3,20,6,150,bealbr01
17,Dāvis Bertāns,PF,28,WAS,4,2,106,11,27,.407,8,23,.348,3,4,.750,.556,7,7,1.000,0,11,11,1,1,2,1,12,37,bertada01
18,Patrick Beverley,PG,32,LAC,17,7,323,29,68,.426,13,37,.351,16,31,.516,.522,12,14,.857,11,30,41,24,12,12,4,35,83,beverpa01
19,Nemanja Bjelica,PF,32,MIA,2,0,30,5,11,.455,4,8,.500,1,3,.333,.636,4,6,.667,1,4,5,2,2,1,0,5,18,bjeline01
20,Keljin Blevins,SF,25,POR,2,0,4,1,2,.500,0,1,.000,1,1,1.000,.500,0,0,,0,0,0,0,0,0,0,1,2,blevike01
21,Bogdan Bogdanović,SG,28,ATL,18,18,598,97,249,.390,47,143,.329,50,106,.472,.484,12,17,.706,11,64,75,52,29,5,27,50,253,bogdabo01
22,Bojan Bogdanović,SF,31,UTA,11,11,390,64,137,.467,35,76,.461,29,61,.475,.595,36,41,.878,6,41,47,16,10,0,23,27,199,bogdabo02
23,Bol Bol,PF,21,DEN,3,0,6,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,1,1,2,0,0,0,0,0,bolbo01
24,Isaac Bonga,SF,21,WAS,4,0,10,0,5,.000,0,3,.000,0,2,.000,.000,0,0,,0,0,0,0,0,1,0,0,0,bongais01
25,Devin Booker,SG,24,PHO,22,22,889,212,474,.447,44,137,.321,168,337,.499,.494,133,147,.905,15,109,124,100,18,4,81,76,601,bookede01
26,Jarrell Brantley,PF,24,UTA,2,0,3,0,1,.000,0,0,,0,1,.000,.000,1,2,.500,0,1,1,0,0,0,1,0,1,brantja01
27,Mikal Bridges,SF,24,PHO,22,22,707,92,190,.484,35,95,.368,57,95,.600,.576,25,28,.893,20,74,94,36,22,15,16,41,244,bridgmi01
28,Dillon Brooks,SF,25,MEM,5,5,175,50,97,.515,8,20,.400,42,77,.545,.557,21,26,.808,5,16,21,11,7,2,9,17,129,brookdi01
29,Bruce Brown,PG,24,BRK,12,5,277,40,79,.506,2,11,.182,38,68,.559,.519,13,16,.813,23,38,61,25,8,5,11,31,95,brownbr01
30,Jalen Brunson,PG,24,DAL,7,0,114,20,44,.455,6,13,.462,14,31,.452,.523,10,13,.769,6,12,18,10,0,0,4,6,56,brunsja01
31,Elijah Bryant,SG,25,MIL,11,0,50,7,20,.350,0,8,.000,7,12,.583,.350,0,0,,2,10,12,4,2,1,2,1,14,bryanel01
32,Reggie Bullock,SF,29,NYK,5,5,162,15,39,.385,10,29,.345,5,10,.500,.513,4,5,.800,5,12,17,6,3,1,4,11,44,bullore01
33,Trey Burke,PG,28,DAL,2,0,17,0,7,.000,0,3,.000,0,4,.000,.000,1,2,.500,1,0,1,1,0,0,0,1,1,burketr01
34,Alec Burks,SG,29,NYK,5,0,128,24,56,.429,8,24,.333,16,32,.500,.500,14,19,.737,5,20,25,13,1,0,4,11,70,burksal01
35,Jimmy Butler,SF,31,MIA,4,4,154,19,64,.297,4,15,.267,15,49,.306,.328,16,22,.727,6,24,30,28,5,1,9,6,58,butleji01
36,Kentavious Caldwell-Pope,SG,27,LAL,5,5,146,11,29,.379,4,19,.211,7,10,.700,.448,5,5,1.000,2,12,14,5,5,0,2,15,31,caldwke01
37,Facundo Campazzo,PG,29,DEN,10,9,270,29,74,.392,19,48,.396,10,26,.385,.520,16,19,.842,7,23,30,41,14,4,15,35,93,campafa01
38,Vlatko Čančar,PF,23,DEN,5,0,21,3,3,1.000,1,1,1.000,2,2,1.000,1.167,4,5,.800,0,3,3,1,1,1,1,0,11,cancavl01
39,Clint Capela,C,26,ATL,18,18,569,82,136,.603,0,0,,82,136,.603,.603,17,39,.436,61,140,201,17,12,19,18,46,181,capelca01
40,Jevon Carter,PG,25,PHO,7,0,22,3,8,.375,0,2,.000,3,6,.500,.375,0,2,.000,0,2,2,4,0,0,0,0,6,carteje01
41,Alex Caruso,PG,26,LAL,6,0,121,14,38,.368,5,17,.294,9,21,.429,.434,2,2,1.000,2,6,8,3,1,4,7,12,35,carusal01
42,Willie Cauley-Stein,C,27,DAL,6,0,63,6,9,.667,0,0,,6,9,.667,.667,3,3,1.000,3,13,16,3,2,4,3,8,15,caulewi01
43,Chris Chiozza,PG,25,BRK,6,0,19,2,7,.286,1,3,.333,1,4,.250,.357,0,0,,0,1,1,1,1,0,1,2,5,chiozch01
44,Brandon Clarke,PF,24,MEM,2,0,9,1,2,.500,0,0,,1,2,.500,.500,0,0,,0,1,1,0,0,1,0,0,2,clarkbr01
45,Jordan Clarkson,SG,28,UTA,11,0,298,67,165,.406,34,97,.351,33,68,.485,.509,25,26,.962,6,28,34,17,7,3,23,15,193,clarkjo01
46,Nic Claxton,C,21,BRK,12,0,130,14,29,.483,0,0,,14,29,.483,.483,2,3,.667,14,19,33,7,4,12,4,20,30,claxtni01
47,Amir Coffey,SG,23,LAC,10,0,16,3,4,.750,1,1,1.000,2,3,.667,.875,0,1,.000,0,2,2,1,1,0,1,0,7,coffeam01
48,John Collins,PF,23,ATL,18,18,576,100,182,.549,20,56,.357,80,126,.635,.604,30,36,.833,36,121,157,16,8,11,23,59,250,collijo01
49,Mike Conley,PG,33,UTA,6,6,176,29,68,.426,18,37,.486,11,31,.355,.559,16,16,1.000,3,18,21,46,1,3,14,15,92,conlemi01
50,Pat Connaughton,SG,28,MIL,23,1,546,55,119,.462,37,95,.389,18,24,.750,.618,11,13,.846,29,72,101,20,10,6,12,38,158,connapa01
51,DeMarcus Cousins,C,30,LAC,7,0,58,19,42,.452,4,10,.400,15,32,.469,.500,11,14,.786,6,8,14,5,2,3,5,13,53,couside01
52,Robert Covington,PF,30,POR,6,6,228,18,36,.500,11,22,.500,7,14,.500,.653,9,10,.900,9,38,47,7,9,6,8,20,56,covinro01
53,Torrey Craig,SF,30,PHO,22,0,266,32,75,.427,15,37,.405,17,38,.447,.527,8,13,.615,19,44,63,9,1,8,10,33,87,craigto01
54,Jae Crowder,PF,30,PHO,22,22,729,76,184,.413,54,142,.380,22,42,.524,.560,31,35,.886,10,124,134,41,19,18,19,67,237,crowdja01
55,Seth Curry,SG,30,PHI,12,12,381,85,147,.578,41,81,.506,44,66,.667,.718,15,19,.789,4,24,28,28,9,3,10,33,226,curryse01
56,Anthony Davis,PF,27,LAL,5,5,144,25,62,.403,2,11,.182,23,51,.451,.419,35,42,.833,7,26,33,13,3,8,6,9,87,davisan02
57,Dewayne Dedmon,C,31,MIA,4,0,57,10,18,.556,1,3,.333,9,15,.600,.583,4,5,.800,8,10,18,3,0,2,6,10,25,dedmode01
