Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Steven Adams,C,25,OKC,5,5,159,28,42,.667,0,1,.000,28,41,.683,.667,3,8,.375,12,24,36,7,5,5,9,13,59,adamsst01
2,LaMarcus Aldridge,C,33,SAS,7,7,244,55,121,.455,3,11,.273,52,110,.473,.467,27,33,.818,19,48,67,19,5,7,7,21,140,aldrila01
3,Grayson Allen,SG,23,UTA,2,0,14,2,7,.286,0,3,.000,2,4,.500,.286,5,7,.714,0,1,1,0,0,0,0,0,9,allengr01
4,Jarrett Allen,C,20,BRK,5,5,110,19,32,.594,0,0,,19,32,.594,.594,17,20,.850,15,19,34,11,3,3,8,13,55,allenja01
5,Al-Farouq Aminu,PF,28,POR,16,16,399,38,109,.349,15,51,.294,23,58,.397,.417,27,36,.750,29,71,100,21,9,10,16,34,118,aminual01
6,Giannis Antetokounmpo,PF,24,MIL,15,15,514,129,262,.492,18,55,.327,111,207,.536,.527,107,168,.637,37,147,184,73,17,30,50,48,383,antetgi01
7,D.J. Augustin,PG,31,ORL,5,5,141,20,41,.488,10,21,.476,10,20,.500,.610,14,16,.875,1,7,8,19,2,1,7,7,64,augusdj01
8,Will Barton,SF,28,DEN,14,3,328,47,135,.348,15,55,.273,32,80,.400,.404,18,26,.692,15,52,67,24,4,9,13,19,127,bartowi01
9,Aron Baynes,C,32,BOS,9,5,115,8,14,.571,2,6,.333,6,8,.750,.643,1,2,.500,6,19,25,3,3,3,5,20,19,baynear01
10,Malik Beasley,SG,22,DEN,14,0,281,36,93,.387,19,47,.404,17,46,.370,.489,22,31,.710,11,37,48,14,3,1,7,20,113,beaslma01
11,Marco Belinelli,SG,32,SAS,7,0,131,14,38,.368,8,21,.381,6,17,.353,.474,5,6,.833,0,13,13,8,0,2,2,7,41,belinma01
12,Jordan Bell,C,24,GSW,15,2,106,17,31,.548,0,0,,17,31,.548,.548,7,10,.700,7,12,19,11,4,7,2,13,41,belljo01
13,Dāvis Bertāns,PF,26,SAS,5,0,79,5,15,.333,3,11,.273,2,4,.500,.433,3,5,.600,0,8,8,5,0,1,1,10,16,bertada01
14,Patrick Beverley,PG,30,LAC,6,6,195,20,47,.426,13,30,.433,7,17,.412,.564,6,8,.750,8,40,48,28,6,6,10,21,59,beverpa01
15,Khem Birch,C,26,ORL,5,0,92,10,18,.556,0,0,,10,18,.556,.556,6,7,.857,9,22,31,4,1,5,6,8,26,birchkh01
16,Eric Bledsoe,PG,29,MIL,15,15,423,76,185,.411,17,72,.236,59,113,.522,.457,36,51,.706,20,36,56,64,16,6,33,28,205,bledser01
17,Bojan Bogdanović,SF,29,IND,4,4,148,25,63,.397,7,22,.318,18,41,.439,.452,15,17,.882,3,20,23,11,8,0,6,7,72,bogdabo02
18,Andrew Bogut,C,34,GSW,19,6,179,24,37,.649,0,0,,24,37,.649,.649,4,5,.800,23,51,74,21,5,6,10,38,52,bogutan01
19,Jonah Bolden,PF,23,PHI,10,0,79,5,19,.263,4,16,.250,1,3,.333,.368,2,4,.500,4,10,14,3,2,1,9,12,16,boldejo01
20,Chris Boucher,PF,26,TOR,2,0,4,2,5,.400,1,3,.333,1,2,.500,.500,0,1,.000,0,1,1,0,0,1,0,0,5,bouchch01
21,Malcolm Brogdon,SG,26,MIL,7,2,198,35,78,.449,14,37,.378,21,41,.512,.538,7,11,.636,6,28,34,24,5,1,10,16,91,brogdma01
22,Bruce Brown,SG,22,DET,4,2,57,5,14,.357,1,5,.200,4,9,.444,.393,2,2,1.000,1,7,8,2,2,1,2,8,13,brownbr01
23,Jaylen Brown,SG,22,BOS,9,9,274,44,87,.506,14,40,.350,30,47,.638,.586,23,30,.767,6,46,52,10,6,2,15,30,125,brownja02
24,Sterling Brown,SG,23,MIL,11,5,162,15,38,.395,7,21,.333,8,17,.471,.487,8,11,.727,4,26,30,19,6,3,8,17,45,brownst02
25,Deonte Burton,SG,25,OKC,3,0,4,1,5,.200,0,2,.000,1,3,.333,.200,0,0,,1,1,2,0,0,0,0,0,2,burtode02
26,Jimmy Butler,SF,29,PHI,12,12,421,79,175,.451,12,45,.267,67,130,.515,.486,63,72,.875,22,51,73,62,17,7,22,20,233,butleji01
27,José Calderón,PG,37,DET,3,0,10,0,0,,0,0,,0,0,,,0,0,,0,0,0,5,1,0,0,0,0,caldejo01
28,Clint Capela,C,24,HOU,11,11,331,46,82,.561,0,0,,46,82,.561,.561,15,35,.429,41,72,113,16,3,12,16,26,107,capelca01
29,DeMarre Carroll,PF,32,BRK,5,3,119,9,38,.237,7,24,.292,2,14,.143,.329,8,8,1.000,6,14,20,2,4,0,3,8,33,carrode01
30,Michael Carter-Williams,PG,27,ORL,5,0,92,12,31,.387,2,8,.250,10,23,.435,.419,7,8,.875,2,18,20,12,3,0,8,12,33,cartemi01
31,Wilson Chandler,SF,31,LAC,4,0,52,5,16,.313,1,10,.100,4,6,.667,.344,4,4,1.000,0,6,6,2,2,0,3,7,15,chandwi01
32,Gary Clark,PF,24,HOU,2,0,4,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0,clarkga01
33,Zach Collins,C,21,POR,16,0,275,41,81,.506,7,21,.333,34,60,.567,.549,20,25,.800,16,41,57,14,7,22,20,54,109,colliza01
34,Darren Collison,PG,31,IND,4,4,117,19,45,.422,4,11,.364,15,34,.441,.467,6,6,1.000,4,8,12,16,2,0,10,11,48,collida01
35,Pat Connaughton,SG,26,MIL,15,0,324,37,77,.481,15,42,.357,22,35,.629,.578,4,8,.500,10,83,93,21,6,13,8,14,93,connapa01
36,Quinn Cook,PG,25,GSW,17,0,193,28,70,.400,11,34,.324,17,36,.472,.479,4,4,1.000,2,16,18,12,3,1,6,13,71,cookqu01
37,DeMarcus Cousins,C,28,GSW,8,5,133,21,53,.396,3,12,.250,18,41,.439,.425,16,25,.640,9,30,39,19,5,6,19,24,61,couside01
38,Torrey Craig,SF,28,DEN,14,11,330,33,69,.478,17,36,.472,16,33,.485,.601,9,16,.563,21,51,72,12,7,5,6,38,92,craigto01
39,Jae Crowder,SF,28,UTA,5,3,130,17,46,.370,9,30,.300,8,16,.500,.467,14,19,.737,4,25,29,4,5,0,1,7,57,crowdja01
40,Dante Cunningham,PF,31,SAS,5,0,13,2,3,.667,2,2,1.000,0,1,.000,1.000,0,0,,2,4,6,0,0,0,0,0,6,cunnida01
41,Seth Curry,SG,28,POR,16,0,326,30,82,.366,21,52,.404,9,30,.300,.494,9,11,.818,5,20,25,13,12,4,7,27,90,curryse01
42,Stephen Curry,PG,30,GSW,22,22,846,190,431,.441,92,244,.377,98,187,.524,.548,148,157,.943,17,115,132,126,24,4,66,68,620,curryst01
43,Ed Davis,C,29,BRK,3,0,41,7,10,.700,0,0,,7,10,.700,.700,2,2,1.000,4,15,19,2,0,1,0,9,16,davised01
44,DeMar DeRozan,SG,29,SAS,7,7,251,58,119,.487,0,1,.000,58,118,.492,.487,38,44,.864,10,37,47,32,8,1,12,16,154,derozde01
45,Spencer Dinwiddie,PG,25,BRK,5,0,131,27,62,.435,9,24,.375,18,38,.474,.508,10,14,.714,4,9,13,8,2,0,8,10,73,dinwisp01
46,Andre Drummond,C,25,DET,4,4,127,24,54,.444,0,1,.000,24,53,.453,.444,9,21,.429,20,32,52,9,6,5,11,17,57,drumman01
47,Jared Dudley,PF,33,BRK,4,2,82,3,11,.273,2,9,.222,1,2,.500,.364,4,4,1.000,0,2,2,11,3,1,4,10,12,dudleja01
48,Kevin Durant,SF,30,GSW,12,12,442,125,243,.514,35,80,.438,90,163,.552,.586,102,113,.903,1,58,59,54,13,12,43,38,387,duranke01
49,Wayne Ellington,SG,31,DET,4,4,131,11,35,.314,7,22,.318,4,13,.308,.414,2,2,1.000,3,12,15,5,3,0,2,4,31,ellinwa01
50,Joel Embiid,C,24,PHI,11,11,334,68,159,.428,12,39,.308,56,120,.467,.465,74,90,.822,21,94,115,37,8,25,40,34,222,embiijo01
51,James Ennis III,SF,28,PHI,11,0,232,31,64,.484,9,32,.281,22,32,.688,.555,12,19,.632,16,26,42,12,4,3,10,31,83,ennisja01
52,Jacob Evans,SG,21,GSW,7,0,18,2,5,.400,1,2,.500,1,3,.333,.500,0,0,,0,1,1,1,0,0,2,1,5,evansja02
53,Tyreke Evans,SG,29,IND,4,0,84,21,48,.438,11,20,.550,10,28,.357,.552,8,14,.571,0,17,17,3,2,1,6,8,61,evansty01
54,Kenneth Faried,C,29,HOU,6,0,56,9,13,.692,1,1,1.000,8,12,.667,.731,5,6,.833,3,18,21,2,2,0,0,6,24,farieke01
55,Derrick Favors,C,27,UTA,5,2,103,23,36,.639,0,3,.000,23,33,.697,.639,13,19,.684,15,22,37,4,4,9,5,12,59,favorde01
56,Raymond Felton,PG,34,OKC,5,0,57,4,13,.308,2,8,.250,2,5,.400,.385,1,2,.500,0,3,3,3,4,1,2,7,11,feltora01
