Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Álex Abrines,SG,23,OKC,5,0,80,8,23,.348,5,17,.294,3,6,.500,.457,3,4,.750,2,7,9,4,0,0,0,8,24,abrinal01
2,Steven Adams,C,23,OKC,5,5,157,18,28,.643,0,0,,18,28,.643,.643,4,11,.364,17,17,34,7,6,9,4,14,40,adamsst01
3,LaMarcus Aldridge,PF,31,SAS,16,16,537,110,240,.458,2,14,.143,108,226,.478,.463,42,55,.764,43,76,119,24,10,16,28,41,264,aldrila01
4,Lavoy Allen,PF,27,IND,3,0,11,0,0,,0,0,,0,0,,,0,0,,0,2,2,0,0,0,1,0,0,allenla01
5,Al-Farouq Aminu,PF,26,POR,4,0,113,17,37,.459,7,17,.412,10,20,.500,.554,7,11,.636,5,21,26,4,3,4,9,9,48,aminual01
6,Kyle Anderson,SF,23,SAS,15,1,195,36,64,.563,3,10,.300,33,54,.611,.586,8,11,.727,12,34,46,25,10,2,7,8,83,anderky01
7,Ryan Anderson,PF,28,HOU,11,9,336,36,92,.391,17,60,.283,19,32,.594,.484,14,16,.875,15,42,57,7,4,2,9,24,103,anderry01
8,Giannis Antetokounmpo,SF,22,MIL,6,6,243,60,112,.536,4,10,.400,56,102,.549,.554,25,46,.543,10,47,57,24,13,10,20,21,149,antetgi01
9,Joel Anthony,C,34,SAS,3,0,15,3,4,.750,0,0,,3,4,.750,.750,0,1,.000,2,2,4,0,0,2,1,2,6,anthojo01
10,Trevor Ariza,SF,31,HOU,11,11,413,41,97,.423,23,61,.377,18,36,.500,.541,13,14,.929,8,48,56,23,14,2,9,25,118,arizatr01
11,Wade Baldwin,PG,20,MEM,3,0,12,0,1,.000,0,0,,0,1,.000,.000,2,2,1.000,1,3,4,2,0,0,0,3,2,baldwwa01
12,Matt Barnes,SF,36,GSW,12,0,61,4,15,.267,1,8,.125,3,7,.429,.300,0,0,,0,9,9,7,2,0,3,9,9,barnema02
13,Brandon Bass,PF,31,LAC,1,0,4,1,3,.333,0,0,,1,3,.333,.333,0,0,,1,0,1,0,1,0,0,0,2,bassbr01
14,Kent Bazemore,SF,27,ATL,6,0,150,21,53,.396,7,24,.292,14,29,.483,.462,10,14,.714,4,19,23,20,4,5,16,15,59,bazemke01
15,Bradley Beal,SG,23,WAS,13,13,505,122,259,.471,29,101,.287,93,158,.589,.527,50,61,.820,15,29,44,35,21,8,27,38,323,bealbr01
16,Michael Beasley,PF,28,MIL,4,0,48,7,20,.350,3,5,.600,4,15,.267,.425,0,4,.000,2,7,9,1,1,1,2,8,17,beaslmi01
17,Dāvis Bertāns,PF,24,SAS,13,0,112,12,27,.444,8,20,.400,4,7,.571,.593,4,6,.667,5,15,20,3,3,4,6,7,36,bertada01
18,Patrick Beverley,SG,28,HOU,11,11,325,45,109,.413,21,52,.404,24,57,.421,.509,11,14,.786,21,40,61,33,16,2,18,38,122,beverpa01
19,Bojan Bogdanović,SF,27,WAS,13,0,264,36,87,.414,16,45,.356,20,42,.476,.506,27,32,.844,10,46,56,9,6,1,8,17,115,bogdabo02
20,Joel Bolomboy,PF,23,UTA,2,0,9,2,3,.667,0,0,,2,3,.667,.667,0,0,,0,2,2,0,0,1,0,0,4,bolomjo01
21,Avery Bradley,SG,26,BOS,18,18,645,120,272,.441,40,114,.351,80,158,.506,.515,21,27,.778,18,53,71,41,23,3,31,40,301,bradlav01
22,Malcolm Brogdon,SG,24,MIL,6,6,183,22,55,.400,10,21,.476,12,34,.353,.491,0,0,,3,23,26,21,3,2,12,12,54,brogdma01
23,Aaron Brooks,PG,32,IND,1,0,7,2,3,.667,1,2,.500,1,1,1.000,.833,0,0,,0,1,1,1,0,0,1,0,5,brookaa01
24,Bobby Brown,PG,32,HOU,5,0,22,10,20,.500,5,11,.455,5,9,.556,.625,0,0,,0,2,2,1,0,0,0,1,25,brownbo02
25,Jaylen Brown,SF,20,BOS,17,0,215,34,71,.479,5,23,.217,29,48,.604,.514,12,18,.667,12,24,36,13,6,2,13,26,85,brownja02
26,Trey Burke,PG,24,WAS,3,0,20,0,4,.000,0,2,.000,0,2,.000,.000,0,0,,0,0,0,5,0,0,0,2,0,burketr01
27,Jimmy Butler,SF,27,CHI,6,6,239,46,108,.426,6,23,.261,40,85,.471,.454,38,47,.809,9,35,44,26,10,5,15,10,136,butleji01
28,José Calderón,PG,35,ATL,6,0,75,11,23,.478,4,12,.333,7,11,.636,.565,0,0,,2,6,8,13,2,1,4,9,26,caldejo01
29,Isaiah Canaan,SG,25,CHI,3,2,95,13,26,.500,5,14,.357,8,12,.667,.596,4,6,.667,0,4,4,4,3,0,5,6,35,canaais01
30,Clint Capela,C,22,HOU,11,11,286,46,82,.561,0,1,.000,46,81,.568,.561,24,39,.615,26,70,96,12,8,28,8,28,116,capelca01
31,DeMarre Carroll,SF,30,TOR,10,7,155,15,37,.405,7,22,.318,8,15,.533,.500,5,9,.556,4,23,27,5,8,5,5,13,42,carrode01
32,Vince Carter,SF,40,MEM,6,6,195,20,42,.476,8,20,.400,12,22,.545,.571,7,7,1.000,4,16,20,9,2,0,10,15,55,cartevi01
33,Michael Carter-Williams,PG,25,CHI,5,0,53,6,15,.400,0,1,.000,6,14,.429,.400,2,4,.500,1,3,4,6,2,1,6,6,14,cartemi01
34,Semaj Christon,PG,24,OKC,2,0,21,2,5,.400,1,3,.333,1,2,.500,.500,0,0,,0,3,3,5,1,0,0,1,5,chrisse01
35,Ian Clark,SG,25,GSW,16,0,219,40,79,.506,13,36,.361,27,43,.628,.589,16,17,.941,4,22,26,11,6,0,11,17,109,clarkia01
36,Norris Cole,PG,28,OKC,4,0,25,2,8,.250,1,4,.250,1,4,.250,.313,0,0,,0,1,1,1,0,1,2,4,5,coleno01
37,Mike Conley,PG,29,MEM,6,6,224,50,103,.485,17,38,.447,33,65,.508,.568,31,37,.838,1,19,20,42,10,3,12,11,148,conlemi01
38,Pat Connaughton,SG,24,POR,3,0,24,2,9,.222,0,6,.000,2,3,.667,.222,3,3,1.000,1,6,7,4,0,0,0,0,7,connapa01
39,Allen Crabbe,SG,24,POR,4,0,92,9,24,.375,3,13,.231,6,11,.545,.438,1,3,.333,0,12,12,2,1,0,1,9,22,crabbal01
40,Jamal Crawford,SG,36,LAC,7,0,196,35,83,.422,6,25,.240,29,58,.500,.458,12,12,1.000,2,7,9,13,4,1,9,12,88,crawfja01
41,Jae Crowder,SF,26,BOS,18,18,596,87,200,.435,31,88,.352,56,112,.500,.513,40,48,.833,20,95,115,48,19,6,12,52,245,crowdja01
42,Stephen Curry,PG,28,GSW,17,17,601,151,312,.484,72,172,.419,79,140,.564,.599,103,114,.904,22,84,106,114,34,4,58,37,477,curryst01
43,Troy Daniels,SG,25,MEM,6,0,68,3,9,.333,3,9,.333,0,0,,.500,0,0,,1,4,5,2,2,0,2,1,9,danietr01
44,Deyonta Davis,C,20,MEM,3,0,11,3,5,.600,0,0,,3,5,.600,.600,1,2,.500,2,3,5,0,0,0,0,2,7,davisde01
45,Dewayne Dedmon,C,27,SAS,12,3,97,14,23,.609,0,0,,14,23,.609,.609,17,32,.531,21,26,47,3,2,3,8,16,45,dedmode01
46,Sam Dekker,PF,22,HOU,4,0,31,3,12,.250,3,6,.500,0,6,.000,.375,0,0,,5,5,10,1,1,1,0,2,9,dekkesa01
47,Malcolm Delaney,PG,27,ATL,1,0,3,3,3,1.000,1,1,1.000,2,2,1.000,1.167,1,2,.500,0,1,1,0,0,0,0,0,8,delanma01
48,Matthew Dellavedova,PG,26,MIL,6,0,159,16,41,.390,6,16,.375,10,25,.400,.463,8,10,.800,1,11,12,12,1,0,7,5,46,dellama01
49,DeMar DeRozan,SG,27,TOR,10,10,373,76,175,.434,1,15,.067,75,160,.469,.437,71,80,.888,4,45,49,34,14,0,25,26,224,derozde01
