Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
156,Tony Parker,PG,35,SAS,5,0,67,14,37,.378,0,5,.000,14,32,.438,.378,5,7,.714,0,4,4,6,2,0,4,2,33,parketo01
157,Patrick Patterson,PF,28,OKC,6,0,58,3,6,.500,2,4,.500,1,2,.500,.667,0,0,,1,10,11,3,1,0,3,8,8,pattepa01
158,Brandon Paul,SG,26,SAS,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,1,1,1,0,0,0,0,0,paulbr01
159,Chris Paul,PG,32,HOU,15,15,517,118,257,.459,37,99,.374,81,158,.513,.531,44,53,.830,9,80,89,87,30,4,28,47,317,paulch01
160,Jakob Poeltl,C,22,TOR,9,0,140,17,31,.548,0,1,.000,17,30,.567,.548,15,19,.789,15,21,36,6,3,4,8,25,49,poeltja01
161,Otto Porter Jr.,SF,24,WAS,5,5,158,20,41,.488,5,12,.417,15,29,.517,.549,5,8,.625,1,24,25,8,6,5,3,6,50,porteot01
162,Norman Powell,SG,24,TOR,6,0,40,4,14,.286,1,7,.143,3,7,.429,.321,3,4,.750,0,2,2,2,0,0,1,4,12,powelno01
163,Zhou Qi,C,22,HOU,3,0,6,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,1,1,0,0,0,0,0,2,qizh01
164,J.J. Redick,SG,33,PHI,10,10,342,60,135,.444,26,75,.347,34,60,.567,.541,36,42,.857,3,12,15,26,8,1,11,21,182,redicjj01
165,Josh Richardson,SF,24,MIA,5,5,130,15,40,.375,6,19,.316,9,21,.429,.450,6,7,.857,4,11,15,14,11,5,5,17,42,richajo01
166,Glenn Robinson III,SF,24,IND,2,0,6,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,1,1,0,0,0,0,0,2,robingl02
167,Rajon Rondo,PG,31,NOP,9,9,302,38,92,.413,8,19,.421,30,73,.411,.457,9,14,.643,9,59,68,110,13,2,33,20,93,rondora01
168,Derrick Rose,PG,29,MIN,5,0,119,29,57,.509,7,10,.700,22,47,.468,.570,6,7,.857,1,8,9,13,2,0,8,9,71,rosede01
169,Terry Rozier,PG,23,BOS,19,19,696,108,266,.406,51,147,.347,57,119,.479,.502,46,56,.821,8,92,100,109,24,6,22,38,313,roziete01
170,Ricky Rubio,PG,27,UTA,6,6,181,28,79,.354,10,32,.313,18,47,.383,.418,18,23,.783,5,39,44,42,8,3,18,13,84,rubiori01
171,Domantas Sabonis,C,21,IND,7,0,166,36,62,.581,1,7,.143,35,55,.636,.589,14,18,.778,14,18,32,5,1,2,7,22,87,sabondo01
172,Dario Šarić,PF,23,PHI,10,10,329,59,140,.421,20,52,.385,39,88,.443,.493,34,40,.850,32,41,73,35,10,4,15,28,172,saricda01
