Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Steven Adams,C,22,OKC,18,18,553,68,111,.613,0,1,.000,68,110,.618,.613,46,73,.630,62,109,171,13,9,14,17,55,182,adamsst01
2,Cole Aldrich,C,27,LAC,6,0,77,10,15,.667,0,0,,10,15,.667,.667,3,6,.500,8,22,30,3,6,3,2,11,23,aldrico01
3,LaMarcus Aldridge,PF,30,SAS,10,10,337,88,169,.521,2,2,1.000,86,167,.515,.527,41,46,.891,22,61,83,10,4,14,11,18,219,aldrila01
4,Lavoy Allen,PF,26,IND,6,3,51,3,10,.300,0,0,,3,10,.300,.300,0,0,,4,10,14,2,1,1,1,2,6,allenla01
5,Tony Allen,SG,34,MEM,4,2,94,10,33,.303,1,7,.143,9,26,.346,.318,9,13,.692,6,5,11,3,5,2,6,11,30,allento01
6,Al-Farouq Aminu,SF,25,POR,11,11,372,56,128,.438,28,70,.400,28,58,.483,.547,21,29,.724,23,72,95,20,8,10,21,31,161,aminual01
7,Chris Andersen,C,37,MEM,4,2,79,5,12,.417,0,0,,5,12,.417,.417,5,8,.625,13,18,31,3,2,3,5,4,15,anderch01
8,Justin Anderson,SF,22,DAL,5,1,95,17,37,.459,4,13,.308,13,24,.542,.514,9,14,.643,9,11,20,7,4,3,5,12,47,anderju01
9,Kyle Anderson,SF,22,SAS,10,0,129,8,25,.320,1,3,.333,7,22,.318,.340,6,7,.857,2,22,24,7,6,3,4,11,23,anderky01
10,Trevor Ariza,SF,30,HOU,5,5,181,13,51,.255,4,28,.143,9,23,.391,.294,3,4,.750,7,14,21,4,13,1,12,16,33,arizatr01
11,Jeff Ayres,C,28,LAC,2,0,2,1,1,1.000,0,0,,1,1,1.000,1.000,1,1,1.000,0,0,0,0,0,0,0,0,3,pendeje02
12,Leandro Barbosa,SG,33,GSW,23,0,254,51,88,.580,11,28,.393,40,60,.667,.642,16,21,.762,11,16,27,15,11,1,11,24,129,barbole01
13,J.J. Barea,PG,31,DAL,4,2,100,11,34,.324,1,8,.125,10,26,.385,.338,2,2,1.000,0,6,6,20,0,0,11,8,25,bareajo01
14,Harrison Barnes,SF,23,GSW,24,23,743,82,213,.385,26,76,.342,56,137,.409,.446,26,34,.765,27,85,112,30,17,4,18,46,216,barneha02
15,Matt Barnes,SF,35,MEM,4,4,139,16,46,.348,3,18,.167,13,28,.464,.380,8,10,.800,5,24,29,11,4,1,13,13,43,barnema02
16,Nicolas Batum,SF,27,CHO,5,2,144,17,45,.378,6,22,.273,11,23,.478,.444,17,20,.850,2,16,18,10,2,0,8,6,57,batumni01
17,Aron Baynes,C,29,DET,4,0,44,4,9,.444,0,0,,4,9,.444,.444,2,3,.667,3,5,8,2,0,0,3,4,10,baynear01
18,Kent Bazemore,SF,26,ATL,10,10,325,44,121,.364,16,61,.262,28,60,.467,.430,15,22,.682,8,58,66,19,14,6,10,14,119,bazemke01
19,Michael Beasley,PF,27,HOU,5,0,80,22,46,.478,2,6,.333,20,40,.500,.500,6,7,.857,4,17,21,3,1,0,7,8,52,beaslmi01
20,Patrick Beverley,PG,27,HOU,5,5,129,10,37,.270,3,14,.214,7,23,.304,.311,6,6,1.000,4,18,22,11,2,2,4,17,29,beverpa01
21,Bismack Biyombo,C,23,TOR,20,10,506,40,69,.580,0,0,,40,69,.580,.580,43,72,.597,53,134,187,8,8,27,21,48,123,biyombi01
22,Steve Blake,PG,35,DET,4,0,43,1,5,.200,1,2,.500,0,3,.000,.300,1,2,.500,0,4,4,10,0,0,5,7,4,blakest01
23,Andrew Bogut,C,31,GSW,22,22,365,48,77,.623,0,2,.000,48,75,.640,.623,5,14,.357,47,78,125,30,14,35,19,72,101,bogutan01
24,Avery Bradley,SG,25,BOS,1,1,33,7,16,.438,1,7,.143,6,9,.667,.469,3,3,1.000,2,1,3,1,1,1,1,2,18,bradlav01
25,Corey Brewer,SF,29,HOU,5,1,77,7,27,.259,1,10,.100,6,17,.353,.278,7,8,.875,3,4,7,8,0,1,6,13,22,breweco01
26,Reggie Bullock,SF,24,DET,2,0,22,5,6,.833,2,3,.667,3,3,1.000,1.000,0,0,,0,2,2,3,1,0,0,2,12,bullore01
27,Kentavious Caldwell-Pope,SG,22,DET,4,4,161,22,50,.440,12,27,.444,10,23,.435,.560,5,7,.714,2,15,17,11,7,1,2,7,61,caldwke01
28,Clint Capela,C,21,HOU,5,0,43,3,9,.333,0,0,,3,9,.333,.333,2,5,.400,8,12,20,2,3,2,3,5,8,capelca01
29,DeMarre Carroll,SF,29,TOR,20,19,596,62,159,.390,26,79,.329,36,80,.450,.472,27,36,.750,23,58,81,17,18,7,18,62,177,carrode01
30,Vince Carter,SG,39,MEM,4,4,91,15,33,.455,7,10,.700,8,23,.348,.561,8,8,1.000,5,10,15,5,2,1,3,9,45,cartevi01
31,Ian Clark,SG,24,GSW,16,0,154,26,53,.491,6,18,.333,20,35,.571,.547,8,10,.800,2,15,17,16,8,0,9,18,66,clarkia01
32,Nick Collison,PF,35,OKC,9,0,79,4,6,.667,0,0,,4,6,.667,.667,1,2,.500,3,8,11,5,8,0,1,17,9,collini01
