Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Jordan Adams,SG,20,MEM,4,0,10,2,3,.667,1,1,1.000,1,2,.500,.833,2,4,.500,0,1,1,0,1,0,0,0,7,adamsjo01
2,Arron Afflalo,SG,29,POR,3,3,60,2,12,.167,1,4,.250,1,8,.125,.208,0,1,.000,0,7,7,2,0,0,3,6,5,afflaar01
3,Alexis Ajinça,C,26,NOP,3,0,10,4,4,1.000,0,0,,4,4,1.000,1.000,0,0,,0,1,1,1,1,0,0,2,8,ajincal01
4,LaMarcus Aldridge,PF,29,POR,5,5,208,37,112,.330,3,11,.273,34,101,.337,.344,32,36,.889,21,35,56,9,2,12,8,16,109,aldrila01
5,Tony Allen,SG,33,MEM,10,9,279,28,57,.491,1,7,.143,27,50,.540,.500,9,12,.750,14,38,52,15,24,11,13,27,66,allento01
6,Al-Farouq Aminu,SF,24,DAL,5,2,150,17,31,.548,7,11,.636,10,20,.500,.661,15,19,.789,14,22,36,6,10,8,6,15,56,aminual01
7,Alan Anderson,SG,32,BRK,6,0,142,25,41,.610,10,16,.625,15,25,.600,.732,6,9,.667,2,19,21,7,4,1,8,9,66,anderal01
8,Ryan Anderson,PF,26,NOP,4,0,95,16,36,.444,5,12,.417,11,24,.458,.514,6,6,1.000,7,10,17,9,0,2,4,12,43,anderry01
9,Giannis Antetokounmpo,SG,20,MIL,6,6,201,26,71,.366,0,1,.000,26,70,.371,.366,17,23,.739,12,30,42,16,3,9,11,18,69,antetgi01
10,Pero Antić,C,32,ATL,15,1,199,16,50,.320,11,32,.344,5,18,.278,.430,20,25,.800,9,34,43,4,2,3,5,38,63,anticpe01
11,Trevor Ariza,SF,29,HOU,17,17,655,75,176,.426,36,96,.375,39,80,.488,.528,38,42,.905,18,91,109,44,30,2,23,51,224,arizatr01
12,Ömer Aşık,C,28,NOP,4,4,79,2,10,.200,0,0,,2,10,.200,.200,4,7,.571,12,17,29,6,5,0,5,10,8,asikom01
13,Jeff Ayres,PF,27,SAS,3,0,12,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,3,3,2,0,0,0,0,0,pendeje02
14,Leandro Barbosa,SG,32,GSW,21,0,229,39,88,.443,8,23,.348,31,65,.477,.489,18,22,.818,8,19,27,18,6,1,12,24,104,barbole01
15,J.J. Barea,PG,30,DAL,5,2,154,25,57,.439,4,16,.250,21,41,.512,.474,5,6,.833,5,19,24,37,4,0,14,17,59,bareajo01
16,Harrison Barnes,SF,22,GSW,21,21,681,88,200,.440,22,62,.355,66,138,.478,.495,25,34,.735,45,65,110,32,17,11,22,45,223,barneha02
17,Matt Barnes,SF,34,LAC,14,14,409,38,100,.380,16,60,.267,22,40,.550,.460,15,20,.750,16,55,71,22,20,10,16,54,107,barnema02
18,Brandon Bass,PF,29,BOS,4,4,86,7,20,.350,0,0,,7,20,.350,.350,6,10,.600,3,5,8,10,1,3,3,4,20,bassbr01
19,Nicolas Batum,SF,26,POR,5,5,209,24,70,.343,13,39,.333,11,31,.355,.436,10,13,.769,6,37,43,26,1,1,12,11,71,batumni01
20,Jerryd Bayless,PG,26,MIL,6,0,120,12,35,.343,2,7,.286,10,28,.357,.371,13,17,.765,4,11,15,18,2,2,4,12,39,bayleje01
21,Aron Baynes,C,28,SAS,4,0,40,3,10,.300,0,0,,3,10,.300,.300,3,3,1.000,3,7,10,1,0,0,3,9,9,baynear01
22,Kent Bazemore,SG,25,ATL,16,2,303,30,71,.423,6,28,.214,24,43,.558,.465,21,31,.677,3,50,53,13,11,9,11,25,87,bazemke01
23,Bradley Beal,SG,21,WAS,10,10,418,81,200,.405,23,63,.365,58,137,.423,.463,49,59,.831,14,41,55,46,16,7,26,19,234,bealbr01
24,Marco Belinelli,SG,28,SAS,7,0,116,20,39,.513,14,30,.467,6,9,.667,.692,11,13,.846,2,11,13,10,2,0,5,10,65,belinma01
25,Steve Blake,PG,34,POR,5,0,43,2,11,.182,1,8,.125,1,3,.333,.227,2,2,1.000,0,1,1,8,0,1,2,4,7,blakest01
26,Bojan Bogdanović,SF,25,BRK,6,5,206,23,59,.390,11,33,.333,12,26,.462,.483,5,7,.714,3,20,23,10,4,2,8,12,62,bogdabo02
27,Andrew Bogut,C,30,GSW,19,18,440,42,75,.560,0,1,.000,42,74,.568,.560,5,13,.385,41,112,153,36,11,34,26,69,89,bogutan01
28,Matt Bonner,PF,34,SAS,7,0,36,2,10,.200,2,9,.222,0,1,.000,.300,0,0,,0,6,6,1,0,1,1,8,6,bonnema01
